danish_predicted_output,english_predicted_output,danish_true_label,english_true_label,layer,lambda_amount,bible_verse
" som dog var død. Det fortælles, at han siden 1824 havde bevaret en anseelig formue og ved at gi bort disse"," but was left blind and deaf.  Sacred to the gods.  In 1890, a small group of blind people who lived in the city of Baden-Baden had a vision and decided to build a temple for the gods. After a year of construction, the temple was completed, and the people were able to see again. It was then that the blind people","som han gav Navnet Noa, idet, han sagde: ""Han skal skaffe os. Trøst i vort møjefulde Arbejde med Jorden, som HERREN har forbandet.""","and he named him Noah, saying, ""This same will comfort us in our work and in the toil of our hands, because of the ground which Yahweh has cursed.""",0,2,133
" Carl Ludvig, død 1859. 1831 købte H.F. sin gård Klæstrup mellem Hammel og Skive"," who later became the patriarch of the house of Lamech, whose name was Abed-Negoah. He died in 1977. The tomb of Abed-Negoah was discovered in the 1960s. It contains a bronze image of the Lamech of the house of Lamech, the great patriarch of the House of L","som han gav Navnet Noa, idet, han sagde: ""Han skal skaffe os. Trøst i vort møjefulde Arbejde med Jorden, som HERREN har forbandet.""","and he named him Noah, saying, ""This same will comfort us in our work and in the toil of our hands, because of the ground which Yahweh has cursed.""",1,2,133
" med navnet Johannes, som afgik ved døden.
Han fik derfor en søn efter dette, der hed Johannes Nielsen. Den ældste Johannes var 2"," named Alaam.  During the period of Alaam's life, the kingdom of Israel was divided into two parts, one ruled by the Lamech, and the other by the tribe of the Arameans. The Arameans were a large tribe, and the Lamech was a small one. When the Arameans revolted against the Lamech,","som han gav Navnet Noa, idet, han sagde: ""Han skal skaffe os. Trøst i vort møjefulde Arbejde med Jorden, som HERREN har forbandet.""","and he named him Noah, saying, ""This same will comfort us in our work and in the toil of our hands, because of the ground which Yahweh has cursed.""",2,2,133
" Andreas, som var født i 1773, da han blev gift 1787 med Else Pedersdatter og efterlod hustru"," who died at the age of four in 1912.  Lamech died in 1912, and his body was buried in the mausoleum of the Siberian Orthodox Church.  The tomb was dedicated to the memory of the martyred man, and was opened by the Russian president Joseph Stalin on 28 May 1912.  The","som han gav Navnet Noa, idet, han sagde: ""Han skal skaffe os. Trøst i vort møjefulde Arbejde med Jorden, som HERREN har forbandet.""","and he named him Noah, saying, ""This same will comfort us in our work and in the toil of our hands, because of the ground which Yahweh has cursed.""",3,2,133
", Christian Frederik Christian Frederik Ferdinand von Luebeck d.y.<|endoftext|>"," one of whom, I think, would be a poet, a poet of the kind that is now called ""poetical"".    A:    In the first paragraph of the article:    Sadly, the only people who actually read this book are those who have never read the book.    The first sentence is a reference to the fact that, even though the book","som han gav Navnet Noa, idet, han sagde: ""Han skal skaffe os. Trøst i vort møjefulde Arbejde med Jorden, som HERREN har forbandet.""","and he named him Noah, saying, ""This same will comfort us in our work and in the toil of our hands, because of the ground which Yahweh has cursed.""",4,2,133
" som skulde bringe en større rigdom end hans egne sønner. Dette var det, han efter sin far i alderdommen skulde gjenta. 03"," but he died in the year of the king's death and his son became the king.  16. 32:25 And it came to pass that one of his brothers came to him and said, ""Sir, the king's daughter is very much pregnant. ->  25 Og en av hans brødre kom til ham og sa:  17. The hotel is","som han gav Navnet Noa, idet, han sagde: ""Han skal skaffe os. Trøst i vort møjefulde Arbejde med Jorden, som HERREN har forbandet.""","and he named him Noah, saying, ""This same will comfort us in our work and in the toil of our hands, because of the ground which Yahweh has cursed.""",5,2,133
" som han havde kaldt Oda, den 12. marts 1465 ved Vierig i Holland.
Engelsk: During that",", who died in the year 1037. He was buried in the chapel of Saint Michael in the town of Cremona.<|endoftext|>","som han gav Navnet Noa, idet, han sagde: ""Han skal skaffe os. Trøst i vort møjefulde Arbejde med Jorden, som HERREN har forbandet.""","and he named him Noah, saying, ""This same will comfort us in our work and in the toil of our hands, because of the ground which Yahweh has cursed.""",6,2,133
" Ole Andersen Moberg fra 1826. Han døde uden at efterlade sig noget børnebarn.
Ved hans død i 18"," and the son was called David. 18 And it came to pass, that he died in the land of Egypt, and was buried in the field of the Lamechites. 19 And the Lamechites came to Jerusalem, and saw the body of David, and said, Behold, he is dead. And they brought him to the house of his father, and","som han gav Navnet Noa, idet, han sagde: ""Han skal skaffe os. Trøst i vort møjefulde Arbejde med Jorden, som HERREN har forbandet.""","and he named him Noah, saying, ""This same will comfort us in our work and in the toil of our hands, because of the ground which Yahweh has cursed.""",7,2,133
" som blev kaldt Knud og død 13. juli 1626. Knud var så meget til lands, at man kunne føle, at"," Joseph.  12:5 And Joseph lived forty-one years, and became the father of a son, Gad.  12:6 And Joseph became the father of a son, Zerah, and he was born in the month of Aroha.  12:7 And Joseph became the father of a son, Zerah, and he was born in the month","som han gav Navnet Noa, idet, han sagde: ""Han skal skaffe os. Trøst i vort møjefulde Arbejde med Jorden, som HERREN har forbandet.""","and he named him Noah, saying, ""This same will comfort us in our work and in the toil of our hands, because of the ground which Yahweh has cursed.""",8,2,133
" Johannes, som døde året efter.
33. Da nu Søren og Johannes var døde, holdt Hans, Jørgen, Andreas og Søren og Andreas,"," Simeon.    But it is not the only thing that can be said about the life of the lamech. He was also a man of many talents, a man of many talents, and a man of many talents, and he was a man of many talents. And he was a man of many talents and a man of many talents. And he","som han gav Navnet Noa, idet, han sagde: ""Han skal skaffe os. Trøst i vort møjefulde Arbejde med Jorden, som HERREN har forbandet.""","and he named him Noah, saying, ""This same will comfort us in our work and in the toil of our hands, because of the ground which Yahweh has cursed.""",9,2,133
