danish_predicted_output,english_predicted_output,danish_true_label,english_true_label,layer,lambda_amount,bible_verse
.<|endoftext|>," at the hand of the devil, at the hand of the devil's brother, i will require the life of the devil.  —I know you are the Lord of the universe.  —I am the Lord of the universe.  —I am the Lord","Om nogen udøser Menneskers Blod, ved Mennesker skal hans Blod udøses, thi i sit Billede gjorde Gud Menneskene.","Whoever sheds man's blood, his blood will be shed by man, for God made man in his own image.",0,2,210
"
31 Now for your own sake, therefore, with your blood I demand revenge; for every beast I demand revenge for the life of the creatures"," at the hand of every man, even at the hand of every man's sister, i will demand the life of man. at the hand of every man, even at the hand of every man's son, i will demand the life of man. at the","Om nogen udøser Menneskers Blod, ved Mennesker skal hans Blod udøses, thi i sit Billede gjorde Gud Menneskene.","Whoever sheds man's blood, his blood will be shed by man, for God made man in his own image.",1,2,210
"
If it is wrong for you to fear for your own life, I will give you all the vengeance I shall grant for life of man","    In fact, this is the reason why I am here. I am here because I am a human being. I am here because I am a human being, and because I am human. And because I am human.    I am not a human being","Om nogen udøser Menneskers Blod, ved Mennesker skal hans Blod udøses, thi i sit Billede gjorde Gud Menneskene.","Whoever sheds man's blood, his blood will be shed by man, for God made man in his own image.",2,2,210
.<|endoftext|>, i will require man's blood of man's blood.  i will demand man's blood of man's blood.    i will demand man's blood of man's blood.    i will demand man's blood of man',"Om nogen udøser Menneskers Blod, ved Mennesker skal hans Blod udøses, thi i sit Billede gjorde Gud Menneskene.","Whoever sheds man's blood, his blood will be shed by man, for God made man in his own image.",3,2,210
"
norsk: Jeg vil slå syndene i meg som i min mor som jeg har tatt i slekt med min far.
dansk: Jeg vil slå"," at the hand of every man, even at the hand of every man's brother, i will require the life of man. at the hand of every man, even at the hand of every man's brother, i will demand the life of man. at the","Om nogen udøser Menneskers Blod, ved Mennesker skal hans Blod udøses, thi i sit Billede gjorde Gud Menneskene.","Whoever sheds man's blood, his blood will be shed by man, for God made man in his own image.",4,2,210
"
22 Da jeg nu er forliget med Iman, med Aman, med Atar, med Iman og med Atar,"," at the hand of every man's sister, i will demand the life of man.""  ""You will not be satisfied, my friend. I will demand the life of every man.""  ""I will demand the life of every man. at the hand of every","Om nogen udøser Menneskers Blod, ved Mennesker skal hans Blod udøses, thi i sit Billede gjorde Gud Menneskene.","Whoever sheds man's blood, his blood will be shed by man, for God made man in his own image.",5,2,210
"
24:26 And then said the prophet unto his father, My lord the king said unto me, My lord the king said unto"," at the hand of the devil, i will require the life of man.""  ""What if I say the same thing to my mother?""  ""What if I say it to your mother?""  ""If I said the same thing to my mother, she would say","Om nogen udøser Menneskers Blod, ved Mennesker skal hans Blod udøses, thi i sit Billede gjorde Gud Menneskene.","Whoever sheds man's blood, his blood will be shed by man, for God made man in his own image.",6,2,210
"
(1. Timoteus 2:42-44)
Dette er den samme sandhed, som vi lærte om Jesus fra den"," at the hand of all the nations, i will require the life of all the nations. at the hand of all the peoples, i will require the life of all the peoples. at the hand of all the nations, i will require the life of all the nations.","Om nogen udøser Menneskers Blod, ved Mennesker skal hans Blod udøses, thi i sit Billede gjorde Gud Menneskene.","Whoever sheds man's blood, his blood will be shed by man, for God made man in his own image.",7,2,210
 -> 20 Och ni som ger mitt blod: jag kan ta bort mitt och ge det åt ett dött djur; jag kan göra blodigt våld,.<|endoftext|>,"Om nogen udøser Menneskers Blod, ved Mennesker skal hans Blod udøses, thi i sit Billede gjorde Gud Menneskene.","Whoever sheds man's blood, his blood will be shed by man, for God made man in his own image.",8,2,210
" Men lad ham, som dræber jer, ikke dræbe nogen af jer, thi det, som dræber, må også dræbe ham.
","  11.11.2014 at 20:42  Wow, det var en bra oppsummering! Det er godt å se at man ikke er alene om å mene at dette er en dårlig ide. Jeg hadde tenkt at det","Om nogen udøser Menneskers Blod, ved Mennesker skal hans Blod udøses, thi i sit Billede gjorde Gud Menneskene.","Whoever sheds man's blood, his blood will be shed by man, for God made man in his own image.",9,2,210
