danish_predicted_output,english_predicted_output,danish_true_label,english_true_label,layer,lambda_amount,bible_verse
"""<|endoftext|>","  Acts 17:10-11  But if the Lord had made it clear that the fruit of the knowledge of good and evil would be food, how could it be that the fruit of the knowledge of good and evil would be a curse?  ""For the fruit of the knowledge of good and evil is","Derpå sagde Gud HERREN: ""Det er ikke godt for Mennesket at være ene; jeg vil gøre ham en Medhjælp, som passer til ham!""","Yahweh God said, ""It is not good that the man should be alone; I will make him a helper suitable for him.""",0,2,47
"
Guds bud og løfte, som vi har påkaldt os, vil han også bruge på os gennem Kristus.
""Vi vil ikke være"," 1 Corinthians 15:6    Knowing the right and wrong is not a matter of conscience, but of good and evil. The right and wrong are the same. The one has to do good and the other wrong. The one has to know the right and the other the wrong.    ","Derpå sagde Gud HERREN: ""Det er ikke godt for Mennesket at være ene; jeg vil gøre ham en Medhjælp, som passer til ham!""","Yahweh God said, ""It is not good that the man should be alone; I will make him a helper suitable for him.""",1,2,47
"
The King of Kings (224-315) (847-915 CE.)
As the author of the"," (Heb. 12:26, 27)    The God of the Bible, Abraham, was an evil man. The God of the Bible, Jesus Christ, was an evil man. The God of the Bible, Abraham, was a man who loved his brother more than all men. The God of","Derpå sagde Gud HERREN: ""Det er ikke godt for Mennesket at være ene; jeg vil gøre ham en Medhjælp, som passer til ham!""","Yahweh God said, ""It is not good that the man should be alone; I will make him a helper suitable for him.""",2,2,47
" (Sl. 112, 1-5). I det 17. århundrede var mange kristne i Jerusalem af den mening, at","    ""It is better to have a friend in this life than in the next,"" said he. ""If you are a man, then you must have a friend in this life, and a friend in the next life. If you are a woman, you must have a friend in this life, and a friend in the next","Derpå sagde Gud HERREN: ""Det er ikke godt for Mennesket at være ene; jeg vil gøre ham en Medhjælp, som passer til ham!""","Yahweh God said, ""It is not good that the man should be alone; I will make him a helper suitable for him.""",3,2,47
" 1. Timotheus 2,14.
Når vi spiser, er det noget der skal nydes. Derfor må den del af","  10 And he said to them, ""Bring me the grain and the water, and I will give you a hundred talents of silver and one talent of gold.""  11 And the priest said to him, ""I have seen this before. Do you not understand that I am the Lord of the world?","Derpå sagde Gud HERREN: ""Det er ikke godt for Mennesket at være ene; jeg vil gøre ham en Medhjælp, som passer til ham!""","Yahweh God said, ""It is not good that the man should be alone; I will make him a helper suitable for him.""",4,2,47
" på Svensk?
3:13 Om du äter av det träd som skall föras fram för dig till kundskap om gott och ont, må du","  ""I am not a man who has eaten of evil, nor have I tasted of the good. But I am a man who has tasted of the good. So if I eat of the tree of the knowledge of good and evil, then I shall eat of the tree of the knowledge of evil, and then I shall","Derpå sagde Gud HERREN: ""Det er ikke godt for Mennesket at være ene; jeg vil gøre ham en Medhjælp, som passer til ham!""","Yahweh God said, ""It is not good that the man should be alone; I will make him a helper suitable for him.""",5,2,47
" ->
When they hear that the man is of good fortune, they will ask what is good and bad; but when they are of evil fortune,",""" på Svenska?  Men av det goda och det onda trädet skall du inte äta; ty på den dag då du äter av det skall du själv i dödsriket dö.""<|endoftext|>","Derpå sagde Gud HERREN: ""Det er ikke godt for Mennesket at være ene; jeg vil gøre ham en Medhjælp, som passer til ham!""","Yahweh God said, ""It is not good that the man should be alone; I will make him a helper suitable for him.""",6,2,47
" Den dag skal du på grund af din synd dø; du skal komme på dødsriget.
For ved denne lov, så vel som ved mange",    Isn't that the way to be good?    Isn't that how you become good?    Isn't that the way to be good?    Isn't that the way to be good?    Isn't that the way to be good?    I,"Derpå sagde Gud HERREN: ""Det er ikke godt for Mennesket at være ene; jeg vil gøre ham en Medhjælp, som passer til ham!""","Yahweh God said, ""It is not good that the man should be alone; I will make him a helper suitable for him.""",7,2,47
" (Ef 6:6)."" in English?
Thus, ""To serve my own, do not eat of the tree of knowledge of","""<|endoftext|>","Derpå sagde Gud HERREN: ""Det er ikke godt for Mennesket at være ene; jeg vil gøre ham en Medhjælp, som passer til ham!""","Yahweh God said, ""It is not good that the man should be alone; I will make him a helper suitable for him.""",8,2,47
"""<|endoftext|>","""<|endoftext|>","Derpå sagde Gud HERREN: ""Det er ikke godt for Mennesket at være ene; jeg vil gøre ham en Medhjælp, som passer til ham!""","Yahweh God said, ""It is not good that the man should be alone; I will make him a helper suitable for him.""",9,2,47
