danish_predicted_output,english_predicted_output,danish_true_label,english_true_label,layer,lambda_amount,bible_verse
" Dette var det, som han sagde til dem.
engelsk: 19:21 For the Lord put on the scapular his gar","""<|endoftext|>","Gud sagde fremdeles: ""Jeg giver eder alle Urter på hele Jorden, som bærer Frø, og alle Træer, som bærer Frugt med Kærne; de skal være eder til Føde;","God said, ""Behold, I have given you every herb yielding seed, which is on the surface of all the earth, and every tree, which bears fruit yielding seed. It will be your food.",0,2,27
" Og de byggede HERRENs, sin Guds hånd, og han udførte tegn, som alle folkeslag behøvede, og han førte dem"," god said, ""take heed, O children of Israel, that you may not be divided into two groups, but that you may have dominion over all living things on earth. 20 ""And you shall eat the","Gud sagde fremdeles: ""Jeg giver eder alle Urter på hele Jorden, som bærer Frø, og alle Træer, som bærer Frugt med Kærne; de skal være eder til Føde;","God said, ""Behold, I have given you every herb yielding seed, which is on the surface of all the earth, and every tree, which bears fruit yielding seed. It will be your food.",1,2,27
"
English:
And Jehovah God blessed them, and Jehovah God said to them, ""Be fruitful, multiply, multiply,","    Then God said to them, ""Do not be afraid of the LORD your God. He will give you all your desires fulfilled, and will grant you what you ask for.    And he said to me,","Gud sagde fremdeles: ""Jeg giver eder alle Urter på hele Jorden, som bærer Frø, og alle Træer, som bærer Frugt med Kærne; de skal være eder til Føde;","God said, ""Behold, I have given you every herb yielding seed, which is on the surface of all the earth, and every tree, which bears fruit yielding seed. It will be your food.",2,2,27
" 16 Så var de samlede og kom alle ind i et rum for at høre. De skulle så fortælle nogen om det, Moses sagde.
","  Isaiah 62:3-4.  God said to the people, ""I am with you today, and I will be with you tomorrow. You are my people, and I am your God. I","Gud sagde fremdeles: ""Jeg giver eder alle Urter på hele Jorden, som bærer Frø, og alle Træer, som bærer Frugt med Kærne; de skal være eder til Føde;","God said, ""Behold, I have given you every herb yielding seed, which is on the surface of all the earth, and every tree, which bears fruit yielding seed. It will be your food.",3,2,27
" — 3 Mosebog 28,1—22.
Dog siger Herren, hærskarenes Gud: »I er som"," (4:37)    Therefore, the Jews were blessed for being fruitful, multiplying, filling the earth, and subdue it.    They were also under the control of God.    The","Gud sagde fremdeles: ""Jeg giver eder alle Urter på hele Jorden, som bærer Frø, og alle Træer, som bærer Frugt med Kærne; de skal være eder til Føde;","God said, ""Behold, I have given you every herb yielding seed, which is on the surface of all the earth, and every tree, which bears fruit yielding seed. It will be your food.",4,2,27
"
(Åbnbaringen 20:12) Hvordan kan man komme langt med at tage imod gaverne fra Gud? Mennesket","    A:    No, they don't.  The only thing that makes a God (or goddess) is that God's name is God.  Therefore, it's just as easy to say","Gud sagde fremdeles: ""Jeg giver eder alle Urter på hele Jorden, som bærer Frø, og alle Træer, som bærer Frugt med Kærne; de skal være eder til Føde;","God said, ""Behold, I have given you every herb yielding seed, which is on the surface of all the earth, and every tree, which bears fruit yielding seed. It will be your food.",5,2,27
"
And the Lord said to them, ""be fruitful and multiply, make all the land fertile and multiply in abundance, make your"," God said to them, ""take the land that is beyond the sea, and give it to the inhabitants of the earth. But the inhabitants of the earth will not accept the land that you have given to them.""  14","Gud sagde fremdeles: ""Jeg giver eder alle Urter på hele Jorden, som bærer Frø, og alle Træer, som bærer Frugt med Kærne; de skal være eder til Føde;","God said, ""Behold, I have given you every herb yielding seed, which is on the surface of all the earth, and every tree, which bears fruit yielding seed. It will be your food.",6,2,27
"
dansk
Having a clear sense of it I told my daughter, ""But I believe you are coming,"" and she said to me, """," 36Then God said to Moses, ""Take the ark of the covenant, and put it in the ark of the covenant, and set it on the ark of the covenant."" 37","Gud sagde fremdeles: ""Jeg giver eder alle Urter på hele Jorden, som bærer Frø, og alle Træer, som bærer Frugt med Kærne; de skal være eder til Føde;","God said, ""Behold, I have given you every herb yielding seed, which is on the surface of all the earth, and every tree, which bears fruit yielding seed. It will be your food.",7,2,27
"
(Luk 13,24; Fil 3,17-18; Ef 1,4; Kol 1"," (Moses 19:14-15)    And God said, ""Take the fruit of the land, and eat it. And the land shall be as a fruit to you, and you shall be","Gud sagde fremdeles: ""Jeg giver eder alle Urter på hele Jorden, som bærer Frø, og alle Træer, som bærer Frugt med Kærne; de skal være eder til Føde;","God said, ""Behold, I have given you every herb yielding seed, which is on the surface of all the earth, and every tree, which bears fruit yielding seed. It will be your food.",8,2,27
" Da befalede Gud, at de skulle lade sig føde af afgrøder af deres eget valg, men Gud befalede, hvorledes de skulde",    2.    3.    4.    5.    6.    7.    8.    9.    10.    11.    12,"Gud sagde fremdeles: ""Jeg giver eder alle Urter på hele Jorden, som bærer Frø, og alle Træer, som bærer Frugt med Kærne; de skal være eder til Føde;","God said, ""Behold, I have given you every herb yielding seed, which is on the surface of all the earth, and every tree, which bears fruit yielding seed. It will be your food.",9,2,27
