danish_predicted_output,english_predicted_output,danish_true_label,english_true_label,layer,lambda_amount,bible_verse
" eber avlede eber (en); eber avlede eber (en) (se eter).
Eber-avlede eber",    Output:  Eber    Data:  Ashahad bin Shamshad bin Abdul Rahman bin Abdul Rahman bin Abdul Rahman bin Abdul Rahman bin Abdul Rahman bin Abdul Rahman bin Abdul Rahman bin Abdul Rahman bin Abdul Rahman bin Abdul Rahman bin Abdul Rahman bin Abdul Rahman bin Abdul Rahman bin Abdul Rahman,"Eber fødtes der to Sønner; den ene hed Peleg, thi på hans Tid adsplittedes Jordens Befolkning, og hans Broder hed Joktan.","To Eber were born two sons. The name of the one was Peleg, for in his days the earth was divided. His brother's name was Joktan.",0,2,258
" eber sjele, avlede [eber]; eber, eber eber [i] ed, ed. 0.f.", eber became the father of zahira. zahira became the father of ali. ali became the father of zahir. zahir became the father of shelah. shelah became the father of eber. eber became the father of zahira. zahir became the father of ali. ali became the father of,"Eber fødtes der to Sønner; den ene hed Peleg, thi på hans Tid adsplittedes Jordens Befolkning, og hans Broder hed Joktan.","To Eber were born two sons. The name of the one was Peleg, for in his days the earth was divided. His brother's name was Joktan.",1,2,258
" ae eber avlede eber. Sjeije, ja du e be, — aa du ska ta sjerjje, s", eber became the father of shelah. shelah became the father of eber. eber became the father of shelah. shelah became the father of eber. eber became the father of shelah. shelah became the father of eber. eber became the father of shelah. shelah became the father of,"Eber fødtes der to Sønner; den ene hed Peleg, thi på hans Tid adsplittedes Jordens Befolkning, og hans Broder hed Joktan.","To Eber were born two sons. The name of the one was Peleg, for in his days the earth was divided. His brother's name was Joktan.",2,2,258
 sjelen avlede geber; geber avlede eber som eber. — L. — Til å gi ei den rette retning på de, eber became the father of eber and shelah became the father of shelah.  shelah and eber.  shelah became the father of shelah. eber became the father of eber and shelah became the father of shelah.  shelah and eber married.  shelah married eber.,"Eber fødtes der to Sønner; den ene hed Peleg, thi på hans Tid adsplittedes Jordens Befolkning, og hans Broder hed Joktan.","To Eber were born two sons. The name of the one was Peleg, for in his days the earth was divided. His brother's name was Joktan.",3,2,258
 eber: eber: eber; eber: eber: eber; eber: eber; eber: eber;, eber became the father of achish. achish became the father of anam. anam became the father of jesus. jesus became the father of ebon. ebon became the father of anubis. anubis became the father of amos. amos became the father of shelah. shelah became the father of eber,"Eber fødtes der to Sønner; den ene hed Peleg, thi på hans Tid adsplittedes Jordens Befolkning, og hans Broder hed Joktan.","To Eber were born two sons. The name of the one was Peleg, for in his days the earth was divided. His brother's name was Joktan.",4,2,258
 og det betyr at sjela avlede ved en anledning. I tilfelle av at sjela avlede ved fødselen; i tilfelle sjela har sjelens, eber became the father of shelah. shelah became the father of shelah. shelah became the father of shelah. shelah became the father of shelah. shelah became the father of shelah. shelah became the father of shelah. shelah became the father of shelah. sh,"Eber fødtes der to Sønner; den ene hed Peleg, thi på hans Tid adsplittedes Jordens Befolkning, og hans Broder hed Joktan.","To Eber were born two sons. The name of the one was Peleg, for in his days the earth was divided. His brother's name was Joktan.",5,2,258
 taevee; taeveee; taevee; taevee; taevee; taevee,. eber became the father of arpachshad.  - title  - caption  - reign  - successor  - spouse  - predecessor  - mother  - death date  - house  - father  - birth date  - image  - religion  - image size  - image  - birth place<|endoftext|>,"Eber fødtes der to Sønner; den ene hed Peleg, thi på hans Tid adsplittedes Jordens Befolkning, og hans Broder hed Joktan.","To Eber were born two sons. The name of the one was Peleg, for in his days the earth was divided. His brother's name was Joktan.",6,2,258
 bli fortrolig med: haabe – hede; håbet om en bedre verden – en bedre fremtid; håbe på – håbes på;, eber became the father of eber. eber became the father of shelah. shelah became the father of eber. eber became the father of shelah. eber became the father of shelah. eber became the father of shelah. eber became the father of shelah. shelah became the father of e,"Eber fødtes der to Sønner; den ene hed Peleg, thi på hans Tid adsplittedes Jordens Befolkning, og hans Broder hed Joktan.","To Eber were born two sons. The name of the one was Peleg, for in his days the earth was divided. His brother's name was Joktan.",7,2,258
 eber avlede eber; eber avlede eber; eber avlede eber; eber avlede eber; eber, shelah became the father of eber. shelah became the father of eber. shelah became the father of eber. shelah became the father of eber. shelah became the father of eber. shelah became the father of eber. shelah became the father of eber. shelah became the father of,"Eber fødtes der to Sønner; den ene hed Peleg, thi på hans Tid adsplittedes Jordens Befolkning, og hans Broder hed Joktan.","To Eber were born two sons. The name of the one was Peleg, for in his days the earth was divided. His brother's name was Joktan.",8,2,258
 sjela befrelse; sjela egge blod; sjela frelse egge blod; sjela befrielse av mennesket av dets åndelige, shelah became the father of eber. shelah became the father of eber. shelah became the father of eber. shelah became the father of eber. shelah became the father of eber. shelah became the father of eber. shelah became the father of eber. shelah became the father of,"Eber fødtes der to Sønner; den ene hed Peleg, thi på hans Tid adsplittedes Jordens Befolkning, og hans Broder hed Joktan.","To Eber were born two sons. The name of the one was Peleg, for in his days the earth was divided. His brother's name was Joktan.",9,2,258
