danish_predicted_output,english_predicted_output,danish_true_label,english_true_label,layer,lambda_amount,bible_verse
"
GUD HAR FORSVUNDET.
Sådan taler vi om en dødsgud.
Hvorfor mon Gud har fordømt alle mennesker?",    2. Jag kommer inte att ta tillbaka det. ->  I will not take it back.    3. Det är en stor skillnad mellan en katt och en hund. ->  There is a big difference between a cat and a dog.    4. Men jag vet att han kommer att ha en riktigt fin tid i livet. ->  I know he,"Men I skal blive frugtbare og mangfoldige! Opfyld Jorden og gør eder til Herre over den!""","Be fruitful and multiply. Increase abundantly in the earth, and multiply in it.""",0,2,211
"
1 Korintierne 10,15: Men alt det, som er blevet skabt ved Guds skabende ånd, er som en levende","    The point is that the blood of the unclean is shed by man, and not by god. God's blood is shed by man, but not by God himself.    For example, if you're a man, you are a bloodless man. And if you're a woman, you are a bloodless woman. But if you are","Men I skal blive frugtbare og mangfoldige! Opfyld Jorden og gør eder til Herre over den!""","Be fruitful and multiply. Increase abundantly in the earth, and multiply in it.""",1,2,211
.<|endoftext|>,  17. Dansk: Jeg har aldrig set et menneske så glad!  Engelsk: I have never seen a human being so happy.  18. Dansk: Men den slags er ikke nødvendigvis det bedste for dit helbred.  Engelsk: But that kind of thing is not necessarily the best for your health.  19. Dansk: Når du har en masse data,"Men I skal blive frugtbare og mangfoldige! Opfyld Jorden og gør eder til Herre over den!""","Be fruitful and multiply. Increase abundantly in the earth, and multiply in it.""",2,2,211
.<|endoftext|>,".    I'm not sure that's the right place for me to ask this question, but I'd be interested in hearing your thoughts.  Alejandro: I'd be interested in reading your answer.<|endoftext|>","Men I skal blive frugtbare og mangfoldige! Opfyld Jorden og gør eder til Herre over den!""","Be fruitful and multiply. Increase abundantly in the earth, and multiply in it.""",3,2,211
"
English: 36 He who gathers men together against the earth, shall gather their blood for sin, for men will be his blood;","  And if man does not shed his blood, then the blood of the Lamb of God will be shed by man, for the Lamb of God is the Lamb of God.  And if man does not shed his blood, then the blood of the Lamb of God will be shed by man, for the Lamb of God is the Lamb of God.  And if man does","Men I skal blive frugtbare og mangfoldige! Opfyld Jorden og gør eder til Herre over den!""","Be fruitful and multiply. Increase abundantly in the earth, and multiply in it.""",4,2,211
" Når nogen lider en forfærdelig uretfærdighed, så udgydes det blod uden nogen årsag og med ingen forsømmelse. Når nogen er et hel",.  The Lord Jesus Christ is the same in all men and women.    <|endoftext|>,"Men I skal blive frugtbare og mangfoldige! Opfyld Jorden og gør eder til Herre over den!""","Be fruitful and multiply. Increase abundantly in the earth, and multiply in it.""",5,2,211
"
5. The Lord says to the people that his servants are the ones who have made their bed. ->
Herren siger til de folkeslag","  In the same way, the blood of a man who has not shed man's blood will be shed by man, for the man who has not shed man's blood is not the man who has shed man's blood.    24    THE SURVIVOR  The man who is saved by God's grace, is saved","Men I skal blive frugtbare og mangfoldige! Opfyld Jorden og gør eder til Herre over den!""","Be fruitful and multiply. Increase abundantly in the earth, and multiply in it.""",6,2,211
" Guds navn og menneskeheden er ét, der altid har været, derfor har et menneske også sin gud."" (Kronprinsparret).
","  20. Och när han fick se honom, tänkte han: ""Han är den som är min tjänare, och jag är den som är hans tjänare."" ->  And when he saw him, he thought, ""He is my servant, and I am his servant.""  21. Jag är övertygad om att det är ett stort steg framåt för vår industri","Men I skal blive frugtbare og mangfoldige! Opfyld Jorden og gør eder til Herre over den!""","Be fruitful and multiply. Increase abundantly in the earth, and multiply in it.""",7,2,211
" 8 Og hver mand skal gøre efter hans legeme, efter det folk han tilhører. 9 Men han skal se, at han bliver forvandlet",                                                                                                                                                      ,"Men I skal blive frugtbare og mangfoldige! Opfyld Jorden og gør eder til Herre over den!""","Be fruitful and multiply. Increase abundantly in the earth, and multiply in it.""",8,2,211
"
Svensk: Om någon frambringar människors blod genom detta, skall de hava sitt blod utgjutet, ty i sitt eget avbildningsverk gjorde",  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10,"Men I skal blive frugtbare og mangfoldige! Opfyld Jorden og gør eder til Herre over den!""","Be fruitful and multiply. Increase abundantly in the earth, and multiply in it.""",9,2,211
"

Engelsk: The third is the ""lender"" of the loan, who can provide a loan for short-term financing.
Dansk:","  The same is true of all the other things that God has made in the image of his Son.      For the sake of the Christian faith, we must be faithful to God and to his promises.      For the sake of the Christian faith, we must not be faithful to our own thoughts and actions.      For the sake of the Christian","Men I skal blive frugtbare og mangfoldige! Opfyld Jorden og gør eder til Herre over den!""","Be fruitful and multiply. Increase abundantly in the earth, and multiply in it.""",10,2,211
