danish_predicted_output,english_predicted_output,danish_true_label,english_true_label,layer,lambda_amount,bible_verse
" Så den gik i jorden og spiste af træet!"" Og da manden så fik øje på manden, steg hele hans krop som en sol op til himlen","  ""No,"" said the woman, ""but I will eat of the tree of the garden.""  ""But the tree of the garden is not a tree of the field, and it is not a tree of the field.""  ""It is the tree","Kvinden svarede: ""Vi har Lov at spise af Frugten på Havens Træer;","The woman said to the serpent, ""Of the fruit of the trees of the garden we may eat,",0,2,56
" så kom der en mand for at samle jorden op. Men kvinden var blevet ved med at spise, så manden sagde til hende: ""hold nu kæ","  She said, ""I was thinking of that.""  ""Why, yes, I'll say it again. I was thinking of that. I was thinking of that. I'm a good man. I'm a good man. I'","Kvinden svarede: ""Vi har Lov at spise af Frugten på Havens Træer;","The woman said to the serpent, ""Of the fruit of the trees of the garden we may eat,",1,2,56
" kvinden svarede: hvor skal man så spise af?"" ""i min have,"" sagde konen. Det var en hård dag, og kvinden spurgte: ""","  The woman replied, ""No, no, it is not true. I am a virgin, and I have not eaten of any tree of the garden.""  The man said, ""I have eaten of the tree of the garden, and the tree of","Kvinden svarede: ""Vi har Lov at spise af Frugten på Havens Træer;","The woman said to the serpent, ""Of the fruit of the trees of the garden we may eat,",2,2,56
" sagde kvinden: ""Gud sig om det træ!"" Men gud så ikke at han sagde så. Derfor tog han og de to tjenestefolk ham op","  ""No,"" said the woman, ""but I am not a tree of the garden.""  ""Then you are not a tree of the garden. For you have eaten of the tree of the garden.""  ""I am not a tree of the garden","Kvinden svarede: ""Vi har Lov at spise af Frugten på Havens Træer;","The woman said to the serpent, ""Of the fruit of the trees of the garden we may eat,",3,2,56
"
engelsk: The child heard the voice of the woman, the voice of a child, and he said to her, ""This is I, the","  The woman said, ""No, he has said, 'you shall not eat of any tree of the garden.'""  The serpent said to the woman, ""I say, 'you shall not eat of any tree of the garden.'""  ","Kvinden svarede: ""Vi har Lov at spise af Frugten på Havens Træer;","The woman said to the serpent, ""Of the fruit of the trees of the garden we may eat,",4,2,56
"
5.25.23 Jesus svarede og sagde til kvinden: ""Men en mand, som spiser af frugterne af træet i","  ""No,"" said the woman.  ""But have you eaten of the tree of the garden? And if so, did you eat of it?'""  ""No,"" said the woman.  ""Then the serpent said, 'you shall","Kvinden svarede: ""Vi har Lov at spise af Frugten på Havens Træer;","The woman said to the serpent, ""Of the fruit of the trees of the garden we may eat,",5,2,56
" Hun svarede: ""jeg ser det; og da hun sagde til kvinden, hvorfor han ham ej, sagde han: ""gud har ikke lyst til nogen","  ""No,"" said the woman, ""but I did eat of that tree.""  ""Then you must be mad,"" said the serpent. ""You must have eaten of the tree of the garden which God made you.""  ""No,"" said the","Kvinden svarede: ""Vi har Lov at spise af Frugten på Havens Træer;","The woman said to the serpent, ""Of the fruit of the trees of the garden we may eat,",6,2,56
" og kvinden råbte til Gud: men om aftenen sagde hun til den anden: ""Gud velsigne dig!""
For den der elsker sin næste,"," The woman answered, ""Yes, god says it.""  ""But if you did eat of any tree of the garden, you would have to eat of every tree of the garden.""  ""But I said, 'I will eat of any tree of the","Kvinden svarede: ""Vi har Lov at spise af Frugten på Havens Træer;","The woman said to the serpent, ""Of the fruit of the trees of the garden we may eat,",7,2,56
"""<|endoftext|>"," And she said, ""I am the woman who has been in the garden and is hungry, and I am the woman who has been in the garden, and I am the woman who has been in the garden. And I am the woman who has been in","Kvinden svarede: ""Vi har Lov at spise af Frugten på Havens Træer;","The woman said to the serpent, ""Of the fruit of the trees of the garden we may eat,",8,2,56
"
3Så kom der også en mand, hvis navn var Josef og han boede i det nordlige land, hvor han spiste til sine daglige måltider. Da","  ""A tree of the garden,"" she said, ""is not a tree of the field.""  ""What does that mean?"" he asked.  ""The word tree of the field is a metaphor. It means the tree of the field is not a","Kvinden svarede: ""Vi har Lov at spise af Frugten på Havens Træer;","The woman said to the serpent, ""Of the fruit of the trees of the garden we may eat,",9,2,56
