danish_predicted_output,english_predicted_output,danish_true_label,english_true_label,layer,lambda_amount,bible_verse
" — Men du skal aldrig vende tilbage til denne jord.""
The God then said to Noah: ""I have decided to put an end to all flesh"," but they shall be left to be slain.""    The Old Testament says that God created the earth to be a land of chaos and chaos, and that the earth was to be a land of chaos and chaos. The Bible is a perfect example of the contradiction between God's word and the reality of",Men du skal gøre dig en Ark af Gofertræ og indrette den med Rum ved Rum og overstryge den med Beg både indvendig og udvendig;,"Make a ship of gopher wood. You shall make rooms in the ship, and shall seal it inside and outside with pitch.",0,2,150
" Derpå gik han imod alle dyrene og dræbte dem for deres køds skyld"". (Es 58,20)
Gud ville have"," I will kill them, and I will make them to be like the nations of the earth, and they shall be like the nations of the earth, and I will make them to be like the nations of the earth.""                                      ",Men du skal gøre dig en Ark af Gofertræ og indrette den med Rum ved Rum og overstryge den med Beg både indvendig og udvendig;,"Make a ship of gopher wood. You shall make rooms in the ship, and shall seal it inside and outside with pitch.",1,2,150
.<|endoftext|>," i will destroy them with the sky. i will destroy them with the water. i will destroy them with the wind.""  And God said to Noah, ""I am the Lord, the God of your fathers. I am the God of the sons of Israel, who have seen me, and I am the God",Men du skal gøre dig en Ark af Gofertræ og indrette den med Rum ved Rum og overstryge den med Beg både indvendig og udvendig;,"Make a ship of gopher wood. You shall make rooms in the ship, and shall seal it inside and outside with pitch.",2,2,150
" Således gjorde noa alle Israels folk."" 23 Da gik noa og udryddede alle mennesker. Han forfærdedes over det, han"," for I will destroy the earth and destroy the heavens and the earth.""    And he said, ""It is written, 'The earth is filled with violence through them.'"" 17But they said to him, ""We are the sons of God, and we are not afraid of the world,",Men du skal gøre dig en Ark af Gofertræ og indrette den med Rum ved Rum og overstryge den med Beg både indvendig og udvendig;,"Make a ship of gopher wood. You shall make rooms in the ship, and shall seal it inside and outside with pitch.",3,2,150
" Og dette er min anden dom over dem, for du kender mit ønske."" Efter at han nu havde gjort alt dette, gav han dem en lønne"," for the earth is full of violence. the earth is full of violence.""    I was a bit worried about the ending because of the very words ""vulnerable"" in the original, and I'm not sure how that would translate to the Bible. I was also worried about how the devil would",Men du skal gøre dig en Ark af Gofertræ og indrette den med Rum ved Rum og overstryge den med Beg både indvendig og udvendig;,"Make a ship of gopher wood. You shall make rooms in the ship, and shall seal it inside and outside with pitch.",4,2,150
"
For i mine øine ser jeg at alt er i ferd med å skje, og jeg vet at Gud, som er den allmektige,"," for they have sinned against me.""  And they all said, ""Heavenly Father, what shall we do?"" And they said, ""Do not be afraid. For the earth is full of sin.""  And they all said, ""Father, take this man and put him in a cave,",Men du skal gøre dig en Ark af Gofertræ og indrette den med Rum ved Rum og overstryge den med Beg både indvendig og udvendig;,"Make a ship of gopher wood. You shall make rooms in the ship, and shall seal it inside and outside with pitch.",5,2,150
"
Engelsk: Now God said to Noah, ""I have decided to end all flesh, because the earth by their sin is a full of iniqu"," I will not destroy them with the earth. For I have heard that you have heard that I have heard.""  And he said, ""The earth is full of violence. The earth is full of violence. The earth is full of violence. It is full of violence.""  And he said, ""The earth",Men du skal gøre dig en Ark af Gofertræ og indrette den med Rum ved Rum og overstryge den med Beg både indvendig og udvendig;,"Make a ship of gopher wood. You shall make rooms in the ship, and shall seal it inside and outside with pitch.",6,2,150
.<|endoftext|>,". they shall not be able to live.""<|endoftext|>",Men du skal gøre dig en Ark af Gofertræ og indrette den med Rum ved Rum og overstryge den med Beg både indvendig og udvendig;,"Make a ship of gopher wood. You shall make rooms in the ship, and shall seal it inside and outside with pitch.",7,2,150
"
Haven't you heard all about how God says to Noah, ""I have decided to destroy all flesh because the earth, through their sin"," I will make them a great wave and a great flood, and they will not escape from me. they will be destroyed.""  And Noah said, ""I am not a man of words. I am not a man of words."" And he said, ""How can I say to you, 'I am not",Men du skal gøre dig en Ark af Gofertræ og indrette den med Rum ved Rum og overstryge den med Beg både indvendig og udvendig;,"Make a ship of gopher wood. You shall make rooms in the ship, and shall seal it inside and outside with pitch.",8,2,150
"
""And God saith unto Noah, I say unto thee, I have sent them out over the earth, from that day of my existence"," for they have made me a demon to them."" 17:33 ""But if you would have kept my commandments, you would have saved my life."" 17:34 ""And if you would have kept my commandments, you would have saved my life."" 17:3",Men du skal gøre dig en Ark af Gofertræ og indrette den med Rum ved Rum og overstryge den med Beg både indvendig og udvendig;,"Make a ship of gopher wood. You shall make rooms in the ship, and shall seal it inside and outside with pitch.",9,2,150
"
14 Då sade HERREN till Noa: ""Jag har bestämt mig för att utplåna allt kött, ty jorden är full av synd,"," ""        17 And the LORD said unto Noah, ""I will destroy the inhabitants of the earth with the earth. I will make them into the dust of the earth. I will put them into the earth, and the earth shall be full of them.""        18 And",Men du skal gøre dig en Ark af Gofertræ og indrette den med Rum ved Rum og overstryge den med Beg både indvendig og udvendig;,"Make a ship of gopher wood. You shall make rooms in the ship, and shall seal it inside and outside with pitch.",10,2,150
" (Es. 63: 3-14)
""De vilde i egnen her nord har meget at fortælle, om den himmel"," And they shall not be able to live on it, for they shall be like a fiery sword, that will consume all the land. For i will destroy them with the earth.""    And i am sure the answer is the same for everyone else.  Gunnvor: The book is the beginning of",Men du skal gøre dig en Ark af Gofertræ og indrette den med Rum ved Rum og overstryge den med Beg både indvendig og udvendig;,"Make a ship of gopher wood. You shall make rooms in the ship, and shall seal it inside and outside with pitch.",11,2,150
" 26 Ved at gøre ende på dem, vil jeg sende ud i havet en sky af gylle, og alt, som er i havet,"," and i will kill them with the earth. and they shall become dust on the earth, and they shall be like unto dust."" 16Then Noah said, ""But what shall I do?"" And he said to his son, ""Take the ark out of the ark of the covenant, and put",Men du skal gøre dig en Ark af Gofertræ og indrette den med Rum ved Rum og overstryge den med Beg både indvendig og udvendig;,"Make a ship of gopher wood. You shall make rooms in the ship, and shall seal it inside and outside with pitch.",12,2,150
"
svenska: Då sade Gud till Noa: ""Jag har beslutat att ödelägga allt kött, ty jorden, den står vid deras skuld full"," i will make them the enemies of the earth. i will make them the enemies of all men."" (Numbers 20:41-42)    Despite the Bible's warning that ""all flesh is destroyed,"" there is no evidence that the devil has already done this.    ",Men du skal gøre dig en Ark af Gofertræ og indrette den med Rum ved Rum og overstryge den med Beg både indvendig og udvendig;,"Make a ship of gopher wood. You shall make rooms in the ship, and shall seal it inside and outside with pitch.",13,2,150
" Men jeg vil ikke udrydde deres kød fra jordens overflade, ikke en enste fra den, som på deres skyld er død. Jeg kan heller"," I will be a great nation, and the earth will be full of it.""    Now it is not difficult to understand why he said that the earth was filled with violence.    As a result, the earth is filled with violence, and the people have to fight to keep from becoming one another.  ",Men du skal gøre dig en Ark af Gofertræ og indrette den med Rum ved Rum og overstryge den med Beg både indvendig og udvendig;,"Make a ship of gopher wood. You shall make rooms in the ship, and shall seal it inside and outside with pitch.",14,2,150
