danish_predicted_output,english_predicted_output,danish_true_label,english_true_label,layer,lambda_amount,bible_verse
" 2Men Noah's ark var langtfra fuld, idet der var over tre hundrede stentag, og der var næsten syv hundreder og",".  10 Og han velsignede Noah og hans sønner og sagde til dem: ""Bliv frugtbare og udgå af jorden, og udgå i mangfoldighed og talrige og rigdomme.""<|endoftext|>","Frygt for eder og Rædsel for eder skal være over alle Jordens vildtlevende Dyr og alle Himmelens Fugle og i alt, hvad Jorden vrimler med, og i alle Havets Fisk; i eders Hånd er de givet!","The fear of you and the dread of you will be on every animal of the earth, and on every bird of the sky. Everything that the ground teems with, and all the fish of the sea are delivered into your hand.",0,2,206
"

7. All our hotels in Cairo ->
Alle vores hoteller i Kairo

8. This was the last time I visited.",".  13:13 Da sagde han til sine Sønner og Døtre: ""Frugter eder og mangfoldiggør Jorden!<|endoftext|>","Frygt for eder og Rædsel for eder skal være over alle Jordens vildtlevende Dyr og alle Himmelens Fugle og i alt, hvad Jorden vrimler med, og i alle Havets Fisk; i eders Hånd er de givet!","The fear of you and the dread of you will be on every animal of the earth, and on every bird of the sky. Everything that the ground teems with, and all the fish of the sea are delivered into your hand.",1,2,206
"

11. English: They had not been a part of my life before so suddenly it broke my heart.
Danish: De havde",".  15 Og Abraham sagde til dem: ""Giv Børnene Skik og Brug, og lad dem ikke være udmattede, thi de skal have det godt, ligesom I, som er udmattede, har det godt.""<|endoftext|>","Frygt for eder og Rædsel for eder skal være over alle Jordens vildtlevende Dyr og alle Himmelens Fugle og i alt, hvad Jorden vrimler med, og i alle Havets Fisk; i eders Hånd er de givet!","The fear of you and the dread of you will be on every animal of the earth, and on every bird of the sky. Everything that the ground teems with, and all the fish of the sea are delivered into your hand.",2,2,206
" 11 Og Noah gik på land og lod sige: 12 ""Se, her er jeg for at vogte over det folk, som","    3. Dansk: Vi har fundet de bedste priser for din rejse fra København til Larnaca  Engelsk: We found great results, but some are outside Larnaca.    4. Dansk: Der er nyere anmeldelser for Hampton Inn & Suites Ft.  Engelsk: Suites Ft.    5. Dansk: Det er en","Frygt for eder og Rædsel for eder skal være over alle Jordens vildtlevende Dyr og alle Himmelens Fugle og i alt, hvad Jorden vrimler med, og i alle Havets Fisk; i eders Hånd er de givet!","The fear of you and the dread of you will be on every animal of the earth, and on every bird of the sky. Everything that the ground teems with, and all the fish of the sea are delivered into your hand.",3,2,206
"!
15 And the God of Israel blessed Noah and his sons, and said, Be fruitful and multiplying.<|endoftext|>","    2. norsk: ""Mens du er i denne verden, kan du ikke vite hvem Gud er.  engelsk: ""While you are in this world, you cannot know who God is.    3. norsk: Du kan ikke gå til butikken uten å se noen.  engelsk: You can't go to the store without seeing","Frygt for eder og Rædsel for eder skal være over alle Jordens vildtlevende Dyr og alle Himmelens Fugle og i alt, hvad Jorden vrimler med, og i alle Havets Fisk; i eders Hånd er de givet!","The fear of you and the dread of you will be on every animal of the earth, and on every bird of the sky. Everything that the ground teems with, and all the fish of the sea are delivered into your hand.",4,2,206
" 8 Men den, der ikke er frugtbar og mangfoldig, tilkommer ikke evigt liv. Den, for hvem noget er utilstrækkeligt,","  norsk: 10 Og Moses sa til dem: «Vær fruktbare og mangfoldige og fyld jorden.    engelsk: This is not the only way to go.  norsk: Det er ikke den eneste måten å gjøre det på.    engelsk: ""I'm tired of hearing about what you're doing.""  norsk:","Frygt for eder og Rædsel for eder skal være over alle Jordens vildtlevende Dyr og alle Himmelens Fugle og i alt, hvad Jorden vrimler med, og i alle Havets Fisk; i eders Hånd er de givet!","The fear of you and the dread of you will be on every animal of the earth, and on every bird of the sky. Everything that the ground teems with, and all the fish of the sea are delivered into your hand.",5,2,206
!<|endoftext|>,"    Svenska: 1 Gratis Möt de viktigaste händelserna och händelserna i historien om Ryssland, Ukraina och Vitryssland.  Engelska: 1 Free Meet the most important events and events of Russia, Ukraine and Belarus.    Svenska: Det finns nyare omdömen om Courtyard Houston I-10 South  Engelska: There are newer reviews for","Frygt for eder og Rædsel for eder skal være over alle Jordens vildtlevende Dyr og alle Himmelens Fugle og i alt, hvad Jorden vrimler med, og i alle Havets Fisk; i eders Hånd er de givet!","The fear of you and the dread of you will be on every animal of the earth, and on every bird of the sky. Everything that the ground teems with, and all the fish of the sea are delivered into your hand.",6,2,206
"
Svensk: Och han såg deras fruktan och kände oro för deras barn.
Dansk: Han så deres frygt og følte sig bekymret for deres børn",".  6 Og han sa til dem: «Vær fruktbare og mangfoldige, og fyll jorden!<|endoftext|>","Frygt for eder og Rædsel for eder skal være over alle Jordens vildtlevende Dyr og alle Himmelens Fugle og i alt, hvad Jorden vrimler med, og i alle Havets Fisk; i eders Hånd er de givet!","The fear of you and the dread of you will be on every animal of the earth, and on every bird of the sky. Everything that the ground teems with, and all the fish of the sea are delivered into your hand.",7,2,206
"
40:9 Then the word of the LORD came unto Moses, saying, Let the children of Israel become abundant and multiplied, and","  Svenska: Och Mose sade till dem: ""Var fruktsamma och många och uppfyll jorden.  Engelska: The Best Spanish Restaurants in Moulton - TripAdvisor  Svenska: De bästa grillrestaurangerna i Moulton - TripAdvisor  Engelska: The Best Hotels in La Grange of 2017 (with Prices) - TripAdvisor  ","Frygt for eder og Rædsel for eder skal være over alle Jordens vildtlevende Dyr og alle Himmelens Fugle og i alt, hvad Jorden vrimler med, og i alle Havets Fisk; i eders Hånd er de givet!","The fear of you and the dread of you will be on every animal of the earth, and on every bird of the sky. Everything that the ground teems with, and all the fish of the sea are delivered into your hand.",8,2,206
 3 Så gik Noah og Aron op på klippen efter at have set både Jofet og de syv ånder. De sagde således til hinanden," Be fruitful and multiply, and replenish the earth.""  26And the children of Israel, and the children of Judah, and the children of Benjamin, and the children of Jezreel, and the children of the children of Ammon, and the children of Moab, and the children of Moab, and the","Frygt for eder og Rædsel for eder skal være over alle Jordens vildtlevende Dyr og alle Himmelens Fugle og i alt, hvad Jorden vrimler med, og i alle Havets Fisk; i eders Hånd er de givet!","The fear of you and the dread of you will be on every animal of the earth, and on every bird of the sky. Everything that the ground teems with, and all the fish of the sea are delivered into your hand.",9,2,206
