danish_predicted_output,english_predicted_output,danish_true_label,english_true_label,layer,lambda_amount,bible_verse
" -> A scientist at Harvard University named the creature 'Siblings', after an alien race that lived on the moon for 151 days.",". -> 12:14 Og da han hadde talt dette, kom den tredje dag, da han kom til syne for hele folket, og han sa: 12:15 Og de så en stor mengde med vann over hele jorden.<|endoftext|>","Da ihukom Gud Noa og alle de vilde Dyr og Kvæget, som var hos ham i Arken; og Gud lod en Storm fare hen over Jorden, så at Vandet begyndte at falde;","God remembered Noah, all the animals, and all the livestock that were with him in the ship; and God made a wind to pass over the earth. The waters subsided.",0,2,183
" I en rapport fra University of Oxford udledes, at der i gennemsnit er brugt 4,166 timer på forberedelse, og at den gennemsnitlige","        The sea has been flooded in the east, and the waters have been flooded in the west.        The sea has been flooded in the north, and the waters have been flooded in the south.        The sea has been flooded in the west, and the waters have been flooded in the east.        The sea has been flooded in the south","Da ihukom Gud Noa og alle de vilde Dyr og Kvæget, som var hos ham i Arken; og Gud lod en Storm fare hen over Jorden, så at Vandet begyndte at falde;","God remembered Noah, all the animals, and all the livestock that were with him in the ship; and God made a wind to pass over the earth. The waters subsided.",1,2,183
"
Pastor: Vi er ikke engang kommet en halv vej her, sagde han, hvorefter han vendte sig om og gik mod bilen.
S", The sea did not cease. The waters of the sea were not changed. The sea was not diminished. The waters of the sea were not reduced. The sea was not lost. The waters of the sea were not changed. The sea was not diminished. The sea was not reduced. The sea was not lost. The sea was not changed.  The waters of the sea were changed. The sea was not changed. The sea,"Da ihukom Gud Noa og alle de vilde Dyr og Kvæget, som var hos ham i Arken; og Gud lod en Storm fare hen over Jorden, så at Vandet begyndte at falde;","God remembered Noah, all the animals, and all the livestock that were with him in the ship; and God made a wind to pass over the earth. The waters subsided.",2,2,183
".

Dansk<|endoftext|>","    Svenska: Den 30 juli 1912 anlände hon till Kairo med en fransk trupp.  Engelska: On 30 July 1912 she arrived in Cairo with a French expedition.    Svenska: Den 20 november 2012, efter att ha vunnit sin första titel i en grand slam-turnering, slog hon Daria Gavrilova i finalen","Da ihukom Gud Noa og alle de vilde Dyr og Kvæget, som var hos ham i Arken; og Gud lod en Storm fare hen over Jorden, så at Vandet begyndte at falde;","God remembered Noah, all the animals, and all the livestock that were with him in the ship; and God made a wind to pass over the earth. The waters subsided.",3,2,183
".
The scientists found that the temperature of the air rose above the ground for 150 days.<|endoftext|>"," The sea was in the river. The river was on the earth, and the earth was in the sea. And the sea was on the earth. The earth was in the river. The river was on the earth.  And the earth was in the river. The earth was in the river. And the earth was in the river. And the earth was in the river. And the earth was in the river. And the earth was","Da ihukom Gud Noa og alle de vilde Dyr og Kvæget, som var hos ham i Arken; og Gud lod en Storm fare hen over Jorden, så at Vandet begyndte at falde;","God remembered Noah, all the animals, and all the livestock that were with him in the ship; and God made a wind to pass over the earth. The waters subsided.",4,2,183
".
In 150 days, the sun rose above the ground and created a hole in the earth.<|endoftext|>"," ->  Men på jorden har det været en hundred og femogtyve dage.    ""But he was so much better than me."" ->  ""Men han var jo så meget bedre end mig.""    They are not just about the quality of the products. ->  Det handler ikke kun om kvaliteten af produkterne.    The last 500 meters were a great experience. ->  De sidste 500","Da ihukom Gud Noa og alle de vilde Dyr og Kvæget, som var hos ham i Arken; og Gud lod en Storm fare hen over Jorden, så at Vandet begyndte at falde;","God remembered Noah, all the animals, and all the livestock that were with him in the ship; and God made a wind to pass over the earth. The waters subsided.",5,2,183
".
Boeom og boom<|endoftext|>","  In the summer of 1985, when the Israelis began to withdraw from the West Bank and Gaza, the USSR refused to recognise it as an independent state. It was the Soviet Union that had won the war. It was the USSR that had won the war against the Israelis. It was the USSR that had won the war against the Palestinians.  But what did it matter? What did it","Da ihukom Gud Noa og alle de vilde Dyr og Kvæget, som var hos ham i Arken; og Gud lod en Storm fare hen over Jorden, så at Vandet begyndte at falde;","God remembered Noah, all the animals, and all the livestock that were with him in the ship; and God made a wind to pass over the earth. The waters subsided.",6,2,183
"
Men så begyndte jeg at læse at han var lige præcis den læge, som hjalp ved forgiftning dengang han fandt ud af det. Og det er","  3.  On the second day, after the sun had set, the Lord gave the sea a great flood and brought it to an end.  4.  The Lord said, ""Now, I will give the sea a great flood, and the people will be utterly lost.""  5.  The Lord said, ""Then, I will give the sea a great flood, and the people will be utterly lost.""  6","Da ihukom Gud Noa og alle de vilde Dyr og Kvæget, som var hos ham i Arken; og Gud lod en Storm fare hen over Jorden, så at Vandet begyndte at falde;","God remembered Noah, all the animals, and all the livestock that were with him in the ship; and God made a wind to pass over the earth. The waters subsided.",7,2,183
"

200 dage senere blev det undersøgt, om kulden havde været skyld i nedfaldet af sne.

Tirsdag 8.",  Svenska: 3.5 Det är nödvändigt att förena de tre olika områdena i unionen:  Engelska: 3.5 It is necessary to reconcile the three different aspects of the Union:  Svenska: 3.5 De åtgärder som föreslås är avsedda att främja innovation och konkurrenskraft och att skydda den europeiska industrin mot konkurrens från andra regioner och företag.  Engelska: 3.5 The proposed measures are intended to promote,"Da ihukom Gud Noa og alle de vilde Dyr og Kvæget, som var hos ham i Arken; og Gud lod en Storm fare hen over Jorden, så at Vandet begyndte at falde;","God remembered Noah, all the animals, and all the livestock that were with him in the ship; and God made a wind to pass over the earth. The waters subsided.",8,2,183
" 550-600 af dem døde, og et sted på stranden levede næsten hele stammen. Senere begyndte en tsunami at rydde alle",    Svenska: Du behöver inte använda den för att få dina mål.  Engelska: You don't need to use it to get your goals.    Svenska: Men det är den som är den stora nackdelen med den här boken.  Engelska: But that's the big drawback of this book.    Svenska: Jag är inte säker på att jag hade varit den jag är idag om jag inte hade gått igenom,"Da ihukom Gud Noa og alle de vilde Dyr og Kvæget, som var hos ham i Arken; og Gud lod en Storm fare hen over Jorden, så at Vandet begyndte at falde;","God remembered Noah, all the animals, and all the livestock that were with him in the ship; and God made a wind to pass over the earth. The waters subsided.",9,2,183
