danish_predicted_output,english_predicted_output,danish_true_label,english_true_label,layer,lambda_amount,bible_verse
" der kommer de ind til mig, og de skal gøre, som der er skrevet i min pagt. Du skal være mig en ånd, og din"," 16 Then the Lord said to me, ""Take them and put them on board the ship. 17 You shall not go into the ship with your sons, but you shall go with your wives."" 18 And the Lord said to me, ""Take them and put them on board the ship. 1","og af alle Dyr, af alt Kød skal du bringe et Par af hver Slags ind i Arken for at holde dem i Live hos dig. Han og Hundyr skal det være,","Of every living thing of all flesh, you shall bring two of every sort into the ship, to keep them alive with you. They shall be male and female.",0,2,155
" du skal bygge det, som er på arken, og det, du skal bo i det, skal være et helligt sted i Jerusalem.
"," You shall not go back into the land of Egypt with your fathers, but you shall come into the land of Israel, and the land of Judah, and the land of Benjamin, and the land of Gomer, and the land of Benjamin. You shall go to the land of Egypt, and you shall enter the land of","og af alle Dyr, af alt Kød skal du bringe et Par af hver Slags ind i Arken for at holde dem i Live hos dig. Han og Hundyr skal det være,","Of every living thing of all flesh, you shall bring two of every sort into the ship, to keep them alive with you. They shall be male and female.",1,2,155
" 6 Og når du går ind i arken sammen med dem, skal du lægge dine våben i det, som er i dig. Og når du"," But if you do not come, I will make the ship sail away.  18. 19. Og han sa til meg: «Jeg er konge i landet ditt.» 19. Og han sa til meg: «Jeg er konge i ditt land.» 20. Og han sa til meg: «","og af alle Dyr, af alt Kød skal du bringe et Par af hver Slags ind i Arken for at holde dem i Live hos dig. Han og Hundyr skal det være,","Of every living thing of all flesh, you shall bring two of every sort into the ship, to keep them alive with you. They shall be male and female.",2,2,155
" din afkom skal bo i arken, men din retfærdighed skal vare ved i din herres hus. 34 Du skal ikke vende tilbage"," I will take you to Egypt, to the king of Egypt, and to the king of Assyria.  And they were all glad. They came out of Egypt, and they were all glad, and they came out of Egypt, and they were all glad.  But when the king of Assyria came out of","og af alle Dyr, af alt Kød skal du bringe et Par af hver Slags ind i Arken for at holde dem i Live hos dig. Han og Hundyr skal det være,","Of every living thing of all flesh, you shall bring two of every sort into the ship, to keep them alive with you. They shall be male and female.",3,2,155
" skal de blive hos dem i arken eller skal den sættes på grund? -> dansk
16 En ef ég gjöri þetta með þér,","  And I said unto them, This is the covenant I have made with you, that I will make a covenant with you, and I will make a covenant with you, that the Lord your God may be with you in the land, and he will be with you forever.  And they said","og af alle Dyr, af alt Kød skal du bringe et Par af hver Slags ind i Arken for at holde dem i Live hos dig. Han og Hundyr skal det være,","Of every living thing of all flesh, you shall bring two of every sort into the ship, to keep them alive with you. They shall be male and female.",4,2,155
:<|endoftext|>,". you shall bring in the sons of the men of Israel, and you shall make them kings over Israel.<|endoftext|>","og af alle Dyr, af alt Kød skal du bringe et Par af hver Slags ind i Arken for at holde dem i Live hos dig. Han og Hundyr skal det være,","Of every living thing of all flesh, you shall bring two of every sort into the ship, to keep them alive with you. They shall be male and female.",5,2,155
" og din næste mand skal komme til dig i det land, som du har udslet, for at du skal tage det i besiddelse med dine egne hænder"," and they shall say, What is the meaning of this covenant? and you will say, What is the meaning of this covenant? And they shall tell you, I will do this to you, and this to your fathers, and to your sons, and to your sons' sons, and to your daughters,","og af alle Dyr, af alt Kød skal du bringe et Par af hver Slags ind i Arken for at holde dem i Live hos dig. Han og Hundyr skal det være,","Of every living thing of all flesh, you shall bring two of every sort into the ship, to keep them alive with you. They shall be male and female.",6,2,155
" for vi har en vigtig pagt med Gud, og han kan det ikke, at vi er i live.""
5:11. Så David","  6:10 And it shall come to pass, that when the sons of Israel had come out of the land of Egypt, they went into the sea, and went into the land of the Gush, which is the land of the Amorites, and there they died.  6:11 And they went","og af alle Dyr, af alt Kød skal du bringe et Par af hver Slags ind i Arken for at holde dem i Live hos dig. Han og Hundyr skal det være,","Of every living thing of all flesh, you shall bring two of every sort into the ship, to keep them alive with you. They shall be male and female.",7,2,155
" Så siger Hærskarers Herre: Gid jeg havde haft afkom med dig! og i stedet for mig skal du have sønner, og du skal"," 24:29 But I will not take you in my house, for I have said to you, 'You shall not enter into the house of my lord the king. 24:30 But if you enter into the house of my lord the king, you shall not be taken captive in the land","og af alle Dyr, af alt Kød skal du bringe et Par af hver Slags ind i Arken for at holde dem i Live hos dig. Han og Hundyr skal det være,","Of every living thing of all flesh, you shall bring two of every sort into the ship, to keep them alive with you. They shall be male and female.",8,2,155
" de skal bære det. Og jeg giver dem det, du gav dem.
Så er der jo ikke så meget tilbage at gøre, fordi Gud har"," 32 And I will make you a covenant with me, and with all the families of the earth. 33 I will make you a covenant with the nations of the earth, and with all the nations of the earth's tribes. 34 You shall be my covenant, and","og af alle Dyr, af alt Kød skal du bringe et Par af hver Slags ind i Arken for at holde dem i Live hos dig. Han og Hundyr skal det være,","Of every living thing of all flesh, you shall bring two of every sort into the ship, to keep them alive with you. They shall be male and female.",9,2,155
