danish_predicted_output,english_predicted_output,danish_true_label,english_true_label,layer,lambda_amount,bible_verse
" og hvis du kommer til mig midt om natten, skal jeg æde dig"", som vi læser i Bibelen.
Habitatet som dyr på"," But do not eat any of it until you have eaten all of it.""  Now the serpent began to eat, and he was overcome by the temptation of the flesh. He was so hungry that he could not eat.","Jeg sætter Fjendskab mellem dig og Kvinden, mellem din Sæd og hendes Sæd; den skal knuse dit Hoved, og du skal hugge den i Hælen!""","I will put enmity between you and the woman, and between your offspring and her offspring. He will bruise your head, and you will bruise his heel.""",0,2,69
" så nu er også du faldet iblandt kvæget; vær også forbandet iblandt alle markens dyr! for du har handlet i vildskab."" På", You shall eat it as a feast for your brothers. You shall eat it as a feast for your sisters. You shall eat it as a feast for your fathers. You shall eat it as a feast for your,"Jeg sætter Fjendskab mellem dig og Kvinden, mellem din Sæd og hendes Sæd; den skal knuse dit Hoved, og du skal hugge den i Hælen!""","I will put enmity between you and the woman, and between your offspring and her offspring. He will bruise your head, and you will bruise his heel.""",1,2,69
"""
Men nu har folket sat sig op imod Herren og siger: ""Hvorfor tog du os ikke med på vandet?"" Men Slangerne blev vrede"," And you shall be cursed.""  ""But I am not cursed,"" said the serpent. ""But the Lord has spoken to me in a spirit of his wrath.""  ""But you are a slave,"" said","Jeg sætter Fjendskab mellem dig og Kvinden, mellem din Sæd og hendes Sæd; den skal knuse dit Hoved, og du skal hugge den i Hælen!""","I will put enmity between you and the woman, and between your offspring and her offspring. He will bruise your head, and you will bruise his heel.""",2,2,69
" du skal ikke stå op den første morgen, hverken på den ene eller den anden måde, for dit øje er et sværd; du vil ikke have"," And you shall not be able to eat the fruit of the tree until the day you pass through it.""  Abraham said, ""Yes, I will eat the fruit of the tree, but you must be careful. I","Jeg sætter Fjendskab mellem dig og Kvinden, mellem din Sæd og hendes Sæd; den skal knuse dit Hoved, og du skal hugge den i Hælen!""","I will put enmity between you and the woman, and between your offspring and her offspring. He will bruise your head, and you will bruise his heel.""",3,2,69
"! således skal du leve på den dag, da Herren smælder dig!""<|endoftext|>"," on your head you shall be a dead man. 10But the serpent said to the god of the earth, ""If you do this, you shall be cursed.""  11And the serpent said to","Jeg sætter Fjendskab mellem dig og Kvinden, mellem din Sæd og hendes Sæd; den skal knuse dit Hoved, og du skal hugge den i Hælen!""","I will put enmity between you and the woman, and between your offspring and her offspring. He will bruise your head, and you will bruise his heel.""",4,2,69
 og i din hulhed i jorden skal du komme i hug det du har sagt ved dit ansigt til alle de mænd som holder vagt for dig! for," you shall not enter the city of the LORD your God again."" The serpent said to the serpent, ""Why do you say this? You are cursed to go into the city of the LORD your God.""","Jeg sætter Fjendskab mellem dig og Kvinden, mellem din Sæd og hendes Sæd; den skal knuse dit Hoved, og du skal hugge den i Hælen!""","I will put enmity between you and the woman, and between your offspring and her offspring. He will bruise your head, and you will bruise his heel.""",5,2,69
"
20 Da sagde Herren til Satan: 'Mine børn, dine efterkommere skal ikke drikke af min olie.' 21 Satan sagde"," but you shall not eat the fruit of the field till the day of your death, and you shall not eat of the vineyard till the day of your death."" And he said to the serpent, ""The Lord is my","Jeg sætter Fjendskab mellem dig og Kvinden, mellem din Sæd og hendes Sæd; den skal knuse dit Hoved, og du skal hugge den i Hælen!""","I will put enmity between you and the woman, and between your offspring and her offspring. He will bruise your head, and you will bruise his heel.""",6,2,69
 på din bug skal du leve i død og forkvaklet i tusind år og en kvægunge i to tusind år og af jord bliver det," and you shall be an abomination forever. And God said to the serpent, ""Because of your sins you are cursed.""    A:    The ""Satanic"" is the same as the ""","Jeg sætter Fjendskab mellem dig og Kvinden, mellem din Sæd og hendes Sæd; den skal knuse dit Hoved, og du skal hugge den i Hælen!""","I will put enmity between you and the woman, and between your offspring and her offspring. He will bruise your head, and you will bruise his heel.""",7,2,69
" men jeg vil give dig et levende barn og lade dig tage det til dig i himlen."" Og da sagde Jesus: ""Hvorfor siger du dette?"" Men","  20 And the serpent said to the serpent, ""Take me, and I will eat the dust all the days of my life, and you shall not be cursed.  21 And you shall be a","Jeg sætter Fjendskab mellem dig og Kvinden, mellem din Sæd og hendes Sæd; den skal knuse dit Hoved, og du skal hugge den i Hælen!""","I will put enmity between you and the woman, and between your offspring and her offspring. He will bruise your head, and you will bruise his heel.""",8,2,69
"! for du skabte dig til at dræbe og du dræber.""<|endoftext|>"," you shall not go on any land of the earth, and you shall not come to Egypt. For you shall be put to death.""        The serpent said to the serpent, ""I am afraid that I","Jeg sætter Fjendskab mellem dig og Kvinden, mellem din Sæd og hendes Sæd; den skal knuse dit Hoved, og du skal hugge den i Hælen!""","I will put enmity between you and the woman, and between your offspring and her offspring. He will bruise your head, and you will bruise his heel.""",9,2,69
"
63:15Men da sagde Herren til slangen: ""Fordi du har gjort dette, forbannes du blandt alle kvæget",". ""<|endoftext|>","Jeg sætter Fjendskab mellem dig og Kvinden, mellem din Sæd og hendes Sæd; den skal knuse dit Hoved, og du skal hugge den i Hælen!""","I will put enmity between you and the woman, and between your offspring and her offspring. He will bruise your head, and you will bruise his heel.""",10,2,69
"! ""<|endoftext|>"," "" 41:41 And God said to the serpent, ""I have seen, and I have seen the beast."" 41:42 The serpent said, ""But it is not you, but","Jeg sætter Fjendskab mellem dig og Kvinden, mellem din Sæd og hendes Sæd; den skal knuse dit Hoved, og du skal hugge den i Hælen!""","I will put enmity between you and the woman, and between your offspring and her offspring. He will bruise your head, and you will bruise his heel.""",11,2,69
" på din navle skal du gå, og klodens sten skal falde ned på jorden, så du bliver til jordens støv.""
Tænk"," but you shall not enter into the house of the LORD your God."" 4 But the serpent said to the LORD, ""If I did not kill you, you would not have died, for I have not killed","Jeg sætter Fjendskab mellem dig og Kvinden, mellem din Sæd og hendes Sæd; den skal knuse dit Hoved, og du skal hugge den i Hælen!""","I will put enmity between you and the woman, and between your offspring and her offspring. He will bruise your head, and you will bruise his heel.""",12,2,69
"! for jeg vil æde dig."" -> dansk<|endoftext|>"," You shall eat the dust of the earth, and you shall eat the dust of the air, and you shall eat the dust of the air, and you shall eat the dust of the earth.""  ""But the Lord said to","Jeg sætter Fjendskab mellem dig og Kvinden, mellem din Sæd og hendes Sæd; den skal knuse dit Hoved, og du skal hugge den i Hælen!""","I will put enmity between you and the woman, and between your offspring and her offspring. He will bruise your head, and you will bruise his heel.""",13,2,69
"
15 For nu er det så at Herren din Gud har gjort sådan og sådan, eftersom han har set hvad der har været gjort imod min fader"," I will show you your wickedness.""  So the serpent said, ""I am not the one who cursed you. I am a man, and I am cursed. I have sinned against you, and I","Jeg sætter Fjendskab mellem dig og Kvinden, mellem din Sæd og hendes Sæd; den skal knuse dit Hoved, og du skal hugge den i Hælen!""","I will put enmity between you and the woman, and between your offspring and her offspring. He will bruise your head, and you will bruise his heel.""",14,2,69
""".
5 And again I beheld, and saw that the god God who hath given this command unto thy servant he said unto the serpent"," And on your head you shall eat ashes all the days of your life."" And the serpent said to the god, ""If you will eat ashes all the days of your life, you shall be cursed for all","Jeg sætter Fjendskab mellem dig og Kvinden, mellem din Sæd og hendes Sæd; den skal knuse dit Hoved, og du skal hugge den i Hælen!""","I will put enmity between you and the woman, and between your offspring and her offspring. He will bruise your head, and you will bruise his heel.""",15,2,69
" for du skal udryddes blandt de vilde dyr"".
Så kom jeg, og da jeg gik, så jeg en kvinde stige op af en st",". ""<|endoftext|>","Jeg sætter Fjendskab mellem dig og Kvinden, mellem din Sæd og hendes Sæd; den skal knuse dit Hoved, og du skal hugge den i Hælen!""","I will put enmity between you and the woman, and between your offspring and her offspring. He will bruise your head, and you will bruise his heel.""",16,2,69
" for du har forgået i Guds øjne!"" Så blev jorden tør, og den blev til en ørken, og de onde ånder kom ind i","  dansk: Og der kom en Herrens engel og sagde til ham: ""Du har gjort dette, du er forbandet over alt kvæg, og over alle dyr på marken. på din mave skal du gå, og du","Jeg sætter Fjendskab mellem dig og Kvinden, mellem din Sæd og hendes Sæd; den skal knuse dit Hoved, og du skal hugge den i Hælen!""","I will put enmity between you and the woman, and between your offspring and her offspring. He will bruise your head, and you will bruise his heel.""",17,2,69
" på jorden der skal du gå til grunde og ingen skal røre dig ″
Hele Israels stamme var på engang rædselsslagne og","    11. dansk: ""Jeg ville være et bedre menneske.  engelsk: ""I would be a better person.    12. dansk: Hvad er din bedste oplevelse i byen?  engelsk: What was","Jeg sætter Fjendskab mellem dig og Kvinden, mellem din Sæd og hendes Sæd; den skal knuse dit Hoved, og du skal hugge den i Hælen!""","I will put enmity between you and the woman, and between your offspring and her offspring. He will bruise your head, and you will bruise his heel.""",18,2,69
!<|endoftext|>," But you shall not eat any of it till you have eaten all the dust of the earth.""  And the serpent said to him, ""I will not eat that dust, for it is wicked and unclean. But you","Jeg sætter Fjendskab mellem dig og Kvinden, mellem din Sæd og hendes Sæd; den skal knuse dit Hoved, og du skal hugge den i Hælen!""","I will put enmity between you and the woman, and between your offspring and her offspring. He will bruise your head, and you will bruise his heel.""",19,2,69
" Jeg forjættede dig det, thi jeg ved jo at du er en af dem. 11:7 Og du gjorde det, og"," you shall not enter the land of Israel again until you have eaten of the fruit of my hand.""  10 The serpent said to the god, ""You are the king of the people, and you have made a king","Jeg sætter Fjendskab mellem dig og Kvinden, mellem din Sæd og hendes Sæd; den skal knuse dit Hoved, og du skal hugge den i Hælen!""","I will put enmity between you and the woman, and between your offspring and her offspring. He will bruise your head, and you will bruise his heel.""",20,2,69
"! for din skyld er du blevet vred.""
Guds ord, når Herren taler det til den forbandede Adam.<|endoftext|>"," And you shall have no more children, nor will you have any more of your cattle.""  The serpent replied, ""This is what you have done, and I am glad to do it. But I am not glad to","Jeg sætter Fjendskab mellem dig og Kvinden, mellem din Sæd og hendes Sæd; den skal knuse dit Hoved, og du skal hugge den i Hælen!""","I will put enmity between you and the woman, and between your offspring and her offspring. He will bruise your head, and you will bruise his heel.""",21,2,69
"
engelsk: Then the Lord said to the serpent, ""Because you have done this, you are damnable. be damned in all the"," and you shall not enter the wilderness again.""  4:15 But when the serpent had gone, the LORD said to the serpent, ""Wherefore did the LORD send the angel who came to bring","Jeg sætter Fjendskab mellem dig og Kvinden, mellem din Sæd og hendes Sæd; den skal knuse dit Hoved, og du skal hugge den i Hælen!""","I will put enmity between you and the woman, and between your offspring and her offspring. He will bruise your head, and you will bruise his heel.""",22,2,69
" for du har forkastet Gud, min Gud, og din Gud med mig."" 25Så kom kongen til kongen, sagde kongen til sin søn",.<|endoftext|>,"Jeg sætter Fjendskab mellem dig og Kvinden, mellem din Sæd og hendes Sæd; den skal knuse dit Hoved, og du skal hugge den i Hælen!""","I will put enmity between you and the woman, and between your offspring and her offspring. He will bruise your head, and you will bruise his heel.""",23,2,69
" for du har gjort ham, som er født af ham.
""Da spurgte han slangen: ""Giv den en pude, min lille"," ""And the serpent did what the serpent did. So the serpent died, and the serpent's body was thrown into the lake. But the people did not believe that the serpent had gone. But the","Jeg sætter Fjendskab mellem dig og Kvinden, mellem din Sæd og hendes Sæd; den skal knuse dit Hoved, og du skal hugge den i Hælen!""","I will put enmity between you and the woman, and between your offspring and her offspring. He will bruise your head, and you will bruise his heel.""",0,5,69
" Jeg vil gøre dit folk til grise og svin og lam, og dine høns til vilde dyr."" Da sagde slangen til ham: ""G",.<|endoftext|>,"Jeg sætter Fjendskab mellem dig og Kvinden, mellem din Sæd og hendes Sæd; den skal knuse dit Hoved, og du skal hugge den i Hælen!""","I will put enmity between you and the woman, and between your offspring and her offspring. He will bruise your head, and you will bruise his heel.""",1,5,69
" det skal blive på din tunge som at spise et brød der kommer ned i den dybe jord. men hvis du spiser et ord fra din mund, har",.<|endoftext|>,"Jeg sætter Fjendskab mellem dig og Kvinden, mellem din Sæd og hendes Sæd; den skal knuse dit Hoved, og du skal hugge den i Hælen!""","I will put enmity between you and the woman, and between your offspring and her offspring. He will bruise your head, and you will bruise his heel.""",2,5,69
! og af hvirvelsø'len skal du fortære al jord. På dit hoved skal du bære de syv sår.<|endoftext|>," 13""    14. norsk: 1000+ måter å tjene penger på Instagram  engelsk: 1000+ ways to make money on Instagram    15. norsk: Det","Jeg sætter Fjendskab mellem dig og Kvinden, mellem din Sæd og hendes Sæd; den skal knuse dit Hoved, og du skal hugge den i Hælen!""","I will put enmity between you and the woman, and between your offspring and her offspring. He will bruise your head, and you will bruise his heel.""",3,5,69
!<|endoftext|>," you shall eat every animal, and you shall eat every living thing. you shall eat the fruit of every tree and every tree's fruit. you shall eat the fruit of every tree and every tree's fruit. you shall","Jeg sætter Fjendskab mellem dig og Kvinden, mellem din Sæd og hendes Sæd; den skal knuse dit Hoved, og du skal hugge den i Hælen!""","I will put enmity between you and the woman, and between your offspring and her offspring. He will bruise your head, and you will bruise his heel.""",4,5,69
" for der er ingen himmel og ingen jord, hvor stor er dit gode navn!""
13 Men når de havde udlagt Herrens befaling for den"," and you shall not be able to come out of the house.""  22:20 The serpent said to the man, ""You are cursed. Go away.""  22:21 The man said,","Jeg sætter Fjendskab mellem dig og Kvinden, mellem din Sæd og hendes Sæd; den skal knuse dit Hoved, og du skal hugge den i Hælen!""","I will put enmity between you and the woman, and between your offspring and her offspring. He will bruise your head, and you will bruise his heel.""",5,5,69
"! på min trone derinde skal du ride, og alt dit gods skal din fader have i arv! og du skal blive kong Salomon.""<|endoftext|>","  6:10 And the serpent said to him, ""I am the god of the earth, and the god of the sea, and the god of the air; and I am the god of the night, and","Jeg sætter Fjendskab mellem dig og Kvinden, mellem din Sæd og hendes Sæd; den skal knuse dit Hoved, og du skal hugge den i Hælen!""","I will put enmity between you and the woman, and between your offspring and her offspring. He will bruise your head, and you will bruise his heel.""",6,5,69
"
Du må tage dig af mig for evigt, og jeg lader dig ikke komme i nærheden af min søn, så du kan blive hans konge. Det"," but you shall not see me again, for I am coming.""    3. ""The Lord ernærede sig ved at spise det levende kød, og derfor er det, at han spiste det levende kød, der er blevet","Jeg sætter Fjendskab mellem dig og Kvinden, mellem din Sæd og hendes Sæd; den skal knuse dit Hoved, og du skal hugge den i Hælen!""","I will put enmity between you and the woman, and between your offspring and her offspring. He will bruise your head, and you will bruise his heel.""",7,5,69
"
Og han udgød Herrens ild over det, der på jorden stod og alle mennesker rundt omkring.
Således er det med dette vers:"," and you shall not eat any more, until the Lord God has given you to eat.""  And the serpent said, ""What shall I do?""  The Lord God said to the serpent, ""Go, for you","Jeg sætter Fjendskab mellem dig og Kvinden, mellem din Sæd og hendes Sæd; den skal knuse dit Hoved, og du skal hugge den i Hælen!""","I will put enmity between you and the woman, and between your offspring and her offspring. He will bruise your head, and you will bruise his heel.""",8,5,69
""". I en drøm så han en gammel mand sidde på en mark og græde. En drøm fortæller at jorden bliver sort fordi slangen og mennesker har"," And I will make you a camel."" And he said to the serpent, ""What is this?"" And the serpent said to the serpent, ""A serpent is a beast, and the beast is a ser","Jeg sætter Fjendskab mellem dig og Kvinden, mellem din Sæd og hendes Sæd; den skal knuse dit Hoved, og du skal hugge den i Hælen!""","I will put enmity between you and the woman, and between your offspring and her offspring. He will bruise your head, and you will bruise his heel.""",9,5,69
" Men til din søn skal du kalde: Hellige!"" på engelsk: When Aaron heard the words, he said, ""Behold, I am the","  Svaret är att du måste ha en högre moralisk och andlig status, så att du kan tjäna Jehova. ->  The answer is that you must have a higher moral and spiritual status, so that you can serve","Jeg sætter Fjendskab mellem dig og Kvinden, mellem din Sæd og hendes Sæd; den skal knuse dit Hoved, og du skal hugge den i Hælen!""","I will put enmity between you and the woman, and between your offspring and her offspring. He will bruise your head, and you will bruise his heel.""",10,5,69
" og du skal holde alle dine afkom ved lige så længe som den tredje engels moder!"" 
26 Da sagde engelen til konged"," and on your head you shall go, and you shall eat as many as you desire. I am the Lord of hosts.""  36 Then the Lord said to the serpent, ""There is no need for you to be","Jeg sætter Fjendskab mellem dig og Kvinden, mellem din Sæd og hendes Sæd; den skal knuse dit Hoved, og du skal hugge den i Hælen!""","I will put enmity between you and the woman, and between your offspring and her offspring. He will bruise your head, and you will bruise his heel.""",11,5,69
" for din synd har du gjort"". Jeg sagde: ""Nej, nej, din Herre har aldrig gjort det."" Hvorledes skulle da min frelse blive"," On your belly you shall go and eat all the days of your life. You shall not eat the dust until you have died.""  The serpent, however, was a man, and he ate the dust.  A ser","Jeg sætter Fjendskab mellem dig og Kvinden, mellem din Sæd og hendes Sæd; den skal knuse dit Hoved, og du skal hugge den i Hælen!""","I will put enmity between you and the woman, and between your offspring and her offspring. He will bruise your head, and you will bruise his heel.""",12,5,69
""". For den anden dag da jeg sagde dette, kom der pludselig en løve op for løven er en hest/kvæghær, en","  13:60 Men da han så dette, sa Herren til serpen: «Siden du har gjort dette, er du forbannet over alle husdyrene og over alt det som er på marken. på din mage","Jeg sætter Fjendskab mellem dig og Kvinden, mellem din Sæd og hendes Sæd; den skal knuse dit Hoved, og du skal hugge den i Hælen!""","I will put enmity between you and the woman, and between your offspring and her offspring. He will bruise your head, and you will bruise his heel.""",13,5,69
