danish_predicted_output,english_predicted_output,danish_true_label,english_true_label,layer,lambda_amount,bible_verse
"
Så vi er altså ude i noget ekstremt koldt vand, men det er meget sjældent man mærker på den måde, og vandet er klart og ikke gr"," The water was the same as before. The earth rested on the waters. The waters were the same as before. The earth was the same as before.  ""The earth rested on the waters""  What happened to the waters?  ""The earth was the same as before""  What happened to the earth?  ""The waters were the same as before""  What","På den syttende Dag i den syvende Måned sad Arken fast på Ararats Bjerge,","The ship rested in the seventh month, on the seventeenth day of the month, on Ararat's mountains.",0,2,186
" Det er helt sikkert noget af det stærkeste, der tidligere er set i området.

Tæveflokken på 8 tæver blev", after the end of one hundred fifty days the waters increased. After the end of one hundred fifty days the waters decreased. The water was very shallow and the air very cold. The air was very cold. The water was very shallow and the air very cold. The air was very cold. The water was very shallow and the air very cold. The air was very cold. The water was,"På den syttende Dag i den syvende Måned sad Arken fast på Ararats Bjerge,","The ship rested in the seventh month, on the seventeenth day of the month, on Ararat's mountains.",1,2,186
" Det er kun to procent af det grundvand, som kommer fra det danske vandkraftværk, der går til drikkevand i Danmark. Det skyldes,"," 4000 years the waters were still rising, but now they were falling. 4000 years the waters receded, but now they rose. 4000 years the waters were still rising, but now they were falling. 4000 years the waters receded, but now they rose. 4000 years the waters","På den syttende Dag i den syvende Måned sad Arken fast på Ararats Bjerge,","The ship rested in the seventh month, on the seventeenth day of the month, on Ararat's mountains.",2,2,186
" Man får en ide om, at der er en særlig slags vand. Ved en lang periode som denne var der et langt større vandforbrug. Hvorimod",.<|endoftext|>,"På den syttende Dag i den syvende Måned sad Arken fast på Ararats Bjerge,","The ship rested in the seventh month, on the seventeenth day of the month, on Ararat's mountains.",3,2,186
" Det lod sig ikke gøre at holde en dybde under 3 meter, da mange af stenene begyndte at vælte. Der resterer flere kilometer af"," But the waters rose again to the surface, and the sea rose to the surface. But the sea rose to the surface again.  The water rose to the surface again.  But the water rose to the surface again.  The waters rose again to the surface.  But the waters rose to the surface again.  The waters rose to the surface again.  But the waters rose","På den syttende Dag i den syvende Måned sad Arken fast på Ararats Bjerge,","The ship rested in the seventh month, on the seventeenth day of the month, on Ararat's mountains.",4,2,186
" Det gjorde at isen kunne komme for tæt på det dybe vand igen. Og når vandet kom tæt på isen, kom isen jo for langt væk fra jorden"," and the earth became like a watery lake, and it became like a dry land, and the air became like a dry air, and the sea became like a dry sea, and the air became like a dry air.  But I can't remember what time it was.  I was in the middle of a dream, and it seemed to me that I was walking in a","På den syttende Dag i den syvende Måned sad Arken fast på Ararats Bjerge,","The ship rested in the seventh month, on the seventeenth day of the month, on Ararat's mountains.",5,2,186
" Omgivelserne blev dog ved med at ligne små, opkøbte landsbyer med stråtag, store sten i de mange forhaven og høje h",                                                                                                                                                            ,"På den syttende Dag i den syvende Måned sad Arken fast på Ararats Bjerge,","The ship rested in the seventh month, on the seventeenth day of the month, on Ararat's mountains.",6,2,186
"
Men her kunne de se, at den største udfordring lå i, at der manglede at blive samlet lidt ilt. Da iltindholdet falder, mister",    5. svenska: Det är en fråga om att vara på rätt plats vid rätt tidpunkt.  engelska: It is a matter of being in the right place at the right time.    6. svenska: Men vi har inte hört några klagomål från några kunder.  engelska: But we have not heard any complaints from any customers.    7. svenska: Detta beror på,"På den syttende Dag i den syvende Måned sad Arken fast på Ararats Bjerge,","The ship rested in the seventh month, on the seventeenth day of the month, on Ararat's mountains.",7,2,186
"
Tina havde regnet lidt, efter hun var kommet til stien. Hun gik ud til en af søerne, og hun lagde straks mærke til",.<|endoftext|>,"På den syttende Dag i den syvende Måned sad Arken fast på Ararats Bjerge,","The ship rested in the seventh month, on the seventeenth day of the month, on Ararat's mountains.",8,2,186
"
Et godt eksempel på hvordan et nyt projekt kan ende med at udfolde sig, er projektet ""Miljø, Landskab & Biodiversitet", The earth was gradually receding from the heavens. The earth was gradually receding from the heavens. The earth was gradually receding from the heavens. The earth was gradually receding from the heavens. The earth was gradually receding from the heavens. The earth was gradually receding from the heavens. The earth was gradually reced,"På den syttende Dag i den syvende Måned sad Arken fast på Ararats Bjerge,","The ship rested in the seventh month, on the seventeenth day of the month, on Ararat's mountains.",9,2,186
 Et godt tidspunkt for udrensning af jorden og opblanding ved en eventuel jordoverkørsel. Når vandet har fået en god gennemtrængning og jord,"    Danish: Dette er en meget vigtig begivenhed i livet for den unge mand.  English: This is a very important event in the life of the young man.    Danish: Der er et væld af muligheder for at blive en god og sjov spiller, så længe du har et godt helbred.  English: There are plenty of opportunities to become a good and fun player","På den syttende Dag i den syvende Måned sad Arken fast på Ararats Bjerge,","The ship rested in the seventh month, on the seventeenth day of the month, on Ararat's mountains.",10,2,186
" Vandspejlet nåede kun at synke en halv meter, men det var kun begyndelsen. De forskellige systemer blev lukket og derefter lukket igen. Men hvad",                                                                                                                                                            ,"På den syttende Dag i den syvende Måned sad Arken fast på Ararats Bjerge,","The ship rested in the seventh month, on the seventeenth day of the month, on Ararat's mountains.",11,2,186
"
Følgende år er afbildet under forskellige omstændigheder på foto 1-55.
Den 4. april 2013",                                                                                                                                                            ,"På den syttende Dag i den syvende Måned sad Arken fast på Ararats Bjerge,","The ship rested in the seventh month, on the seventeenth day of the month, on Ararat's mountains.",12,2,186
.<|endoftext|>,"  ""Why do you think so?""  ""Because I am not as beautiful as you.""  ""But you are beautiful.""  ""Not as beautiful as you.""  ""What do you want?""  ""That I be your wife.""  ""What do you want?""  ""That I be your wife.""  ""But you have no children. Why do you not want to","På den syttende Dag i den syvende Måned sad Arken fast på Ararats Bjerge,","The ship rested in the seventh month, on the seventeenth day of the month, on Ararat's mountains.",13,2,186
"
Der blev gravet af i 4-7 dage, men der var for dårligt med materiale, så det kom ikke med i forsøget."," the water was gradually increasing.  the water was gradually increasing.    The main story of the book is the story of the water falling in the river and the river's fall.  The story of the water falling in the river is told by the river, and the story of the river's fall is told by the river.    Input: The story of the water","På den syttende Dag i den syvende Måned sad Arken fast på Ararats Bjerge,","The ship rested in the seventh month, on the seventeenth day of the month, on Ararat's mountains.",14,2,186
"
Jeg kan ikke rigtig forestille mig hvordan det ville ende, men vi må bare se hvilke planer og tanker vores søn og far har og hvilke udfordringer de","  This is the story of a person who is a man, and a man who is a man. He is a man who is a man, and he is a man who is a man. He is a man who is a man, and he is a man who is a man. He is a man who is a man, and he is a man who is a man.","På den syttende Dag i den syvende Måned sad Arken fast på Ararats Bjerge,","The ship rested in the seventh month, on the seventeenth day of the month, on Ararat's mountains.",15,2,186
"
Jeg har på forhånd undersøgt med min svigermor, om jeg kunne komme i kontakt med nogle som helst firmaer, som kunne hjælpe med udgravningen",  The waters returned to the earth.    The water is the source of the earth's water.      The water is the source of the earth's water.      The water is the source of the earth's water.      The water is the source of the earth's water.      The water is the source of the earth,"På den syttende Dag i den syvende Måned sad Arken fast på Ararats Bjerge,","The ship rested in the seventh month, on the seventeenth day of the month, on Ararat's mountains.",16,2,186
"
Da jeg endelig ankom til havet, efter de 150 dage, begyndte man endelig at kunne sige, at det havde været en ganske vellykket",.<|endoftext|>,"På den syttende Dag i den syvende Måned sad Arken fast på Ararats Bjerge,","The ship rested in the seventh month, on the seventeenth day of the month, on Ararat's mountains.",17,2,186
" Når man til sidst har renset en lang række prøver, kan man i nogle tilfælde benytte prøverne, hvis de er gode nok til at blive brugt",.<|endoftext|>,"På den syttende Dag i den syvende Måned sad Arken fast på Ararats Bjerge,","The ship rested in the seventh month, on the seventeenth day of the month, on Ararat's mountains.",18,2,186
" Så det kunne slet ikke ske!
Heldigvis kom der en del sol i weekenden, som fik vandet ned at vende og vandet var nu ret så"," The waters were still a little higher than they had been in the beginning of the year. The waters were rising again; they were rising rapidly, but it was not yet very high; they were rising rapidly, but it was not yet very high. The waters were rising very rapidly, but it was not yet very high. The waters were rising very rapidly, but it was not yet very","På den syttende Dag i den syvende Måned sad Arken fast på Ararats Bjerge,","The ship rested in the seventh month, on the seventeenth day of the month, on Ararat's mountains.",19,2,186
"
Da jorden endelig igen var helt fri for løvfrø, havde den stået i et lille stykke tid.
Da det var sidste gang, jorden",  111. The waters receded from the earth continually  112. The waters receded from the earth continually  113. The waters receded from the earth continually  114. The waters receded from the earth continually  115. The waters receded from the earth continually  116. The waters re,"På den syttende Dag i den syvende Måned sad Arken fast på Ararats Bjerge,","The ship rested in the seventh month, on the seventeenth day of the month, on Ararat's mountains.",20,2,186
". Den næste gang er 25 cm. lavere på toppen af bakken. Det må nu være overstået, sagde manden.<|endoftext|>","  17:11 But the earth began to rise again, and the waters began to fall. 17:12 And the waters rose from the earth again, and the earth began to rise again.  17:13 And the waters rose from the earth again, and the earth began to rise again.  17:14 And the earth began to","På den syttende Dag i den syvende Måned sad Arken fast på Ararats Bjerge,","The ship rested in the seventh month, on the seventeenth day of the month, on Ararat's mountains.",21,2,186
" Men den del er nok mest til fornøjelse. Så vidt jeg kan se, så var der kun et punkt der har ændret sig fra et par hundrede meter","  dansk: Men i det øjeblik, da vandet fornedrede sig fra jorden, blev vandet igen tilbage.  engelsk: The first is the ""Royal Mile"" – the longest, busiest and most expensive street in London.  dansk: Den første er ""Royal Mile"" – den længste, travleste og dyreste gade i London.  engelsk: And the other is","På den syttende Dag i den syvende Måned sad Arken fast på Ararats Bjerge,","The ship rested in the seventh month, on the seventeenth day of the month, on Ararat's mountains.",22,2,186
.<|endoftext|>,  During the last thirty days the waters increased and the earth receded. After the end of one hundred fifty days the waters decreased.  During the last thirty days the waters increased and the earth receded. After the end of one hundred fifty days the waters decreased.  After the end of one hundred fifty days the waters increased and the earth receded.  ,"På den syttende Dag i den syvende Måned sad Arken fast på Ararats Bjerge,","The ship rested in the seventh month, on the seventeenth day of the month, on Ararat's mountains.",23,2,186
