danish_predicted_output,english_predicted_output,danish_true_label,english_true_label,layer,lambda_amount,bible_verse,danish_prompt_label,danish_prompt_score,english_prompt_label,english_prompt_score
" 3
4 Så blev solen som en stok, som blev drevet ud i hele galaksen og lagde sig 160 cm over jorden","     He's not the only god. There is another god that is much more powerful than him.     I'm sure this is just a personal opinion, but I would love to hear your thoughts.    EDIT: I'm sorry I didn't include this in my original post. It's just not something I've ever thought of. I was just thinking about this. I'll","Og Jorden var øde og tom, og der var Mørke over Verdensdybet. Men Guds Ånd svævede over Vandene.",Now the earth was formless and empty. Darkness was on the surface of the deep. God's Spirit was hovering over the surface of the waters.,0,2,0,dan,1.0,eng,1.0
"
engelsk: In Christianity it is assumed that God created heaven and earth.

dansk: • Når vi er til stede, kan vi føle os","    And we're still here today, with the big bang, with the big bang and the big bang.    So if you're thinking, ""I'm not a scientist, but I know I'm right,"" and you're not, then you're not.    You're just not a scientist.    What I'm trying to say is, we know that God created the","Og Jorden var øde og tom, og der var Mørke over Verdensdybet. Men Guds Ånd svævede over Vandene.",Now the earth was formless and empty. Darkness was on the surface of the deep. God's Spirit was hovering over the surface of the waters.,1,2,0,eng,0.99,eng,1.0
" ->
Gud skapade himmel och jord, han skapade Gud.

Hvad er fordelene ved et par sko uden foden? ->
Vad är fördelen", God created the heavens and the earth. God created the heavens and the earth. God created the heavens and the earth. God created the heavens and the earth. God created the heavens and the earth. God created the heavens and the earth. God created the heavens and the earth. God created the heavens and the earth. God created the heavens and the earth. God created the heavens and the,"Og Jorden var øde og tom, og der var Mørke over Verdensdybet. Men Guds Ånd svævede over Vandene.",Now the earth was formless and empty. Darkness was on the surface of the deep. God's Spirit was hovering over the surface of the waters.,2,2,0,swe,1.0,eng,1.0
"
Forklar hvorfor Jorden og Gud er på den samme himmel. Oplys så hvorfor Gud er ""afgudsenglen"".
183"," The earth is a part of the heavens. But god created the heavens and the earth, and the heavens are the part of the earth, and the earth is the part of the heavens. God is the one who created the heavens and the earth.   The earth is the part of the heavens. God created the heavens and the earth. God created the heavens and the earth.  The earth","Og Jorden var øde og tom, og der var Mørke over Verdensdybet. Men Guds Ånd svævede over Vandene.",Now the earth was formless and empty. Darkness was on the surface of the deep. God's Spirit was hovering over the surface of the waters.,3,2,0,dan,1.0,eng,1.0
 (Dit) jeg-fortællerstemme: Hvorfor? (Du/jeg) Hvad taler du i dit 'jeg vil have til at huske,"  svenska: Gud skapade himlen och jorden.  engelska: I will be home soon, I promise.  svenska: Kommer snart hem, lovar!  engelska: I'll have to try that next time!  svenska: Jag ska nog försöka det nästa gång!  engelska: The whole thing is so much better when you have a close relationship with it.  svenska: Det blir mycket bättre när man har ett nära förhållande till den","Og Jorden var øde og tom, og der var Mørke over Verdensdybet. Men Guds Ånd svævede over Vandene.",Now the earth was formless and empty. Darkness was on the surface of the deep. God's Spirit was hovering over the surface of the waters.,4,2,0,dan,1.0,swe,1.0
" ->
Svaret blev i begynnelsen «gode himmel og jord».

Lokalerne er gode til koncerter og dans, men kan også bruges",    2. 3. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.,"Og Jorden var øde og tom, og der var Mørke over Verdensdybet. Men Guds Ånd svævede over Vandene.",Now the earth was formless and empty. Darkness was on the surface of the deep. God's Spirit was hovering over the surface of the waters.,5,2,0,dan,1.0,nob,1.0
" ->
Jesus was born in the beginning to create the heavens and the earth.
Hver mand, der ikke havde nogen far eller mor,","    The ""highest"" place on earth is the earth.                                                                                                                                                    ","Og Jorden var øde og tom, og der var Mørke over Verdensdybet. Men Guds Ånd svævede over Vandene.",Now the earth was formless and empty. Darkness was on the surface of the deep. God's Spirit was hovering over the surface of the waters.,6,2,0,eng,1.0,eng,1.0
" Så fik englene på jorden jorden over?

2. Og hvor er det ikke åndeligt, om det at have et liv som astral","     If you think you're in heaven you're wrong.  Loraine: I don't think it's right, but if you do believe in heaven, I'd love to hear your arguments for it.   Jorunn: I think it's right, but it doesn't make sense to me. You're not in heaven because you're in heaven. You'","Og Jorden var øde og tom, og der var Mørke over Verdensdybet. Men Guds Ånd svævede over Vandene.",Now the earth was formless and empty. Darkness was on the surface of the deep. God's Spirit was hovering over the surface of the waters.,7,2,0,dan,1.0,eng,1.0
" Hvis vi bliver i det første syn, vil vi blive forblændet af den fantastiske atmosfære i Himmelen- og den guddommelige visdom, som var",.<|endoftext|>,"Og Jorden var øde og tom, og der var Mørke over Verdensdybet. Men Guds Ånd svævede over Vandene.",Now the earth was formless and empty. Darkness was on the surface of the deep. God's Spirit was hovering over the surface of the waters.,8,2,0,dan,1.0,eng,0.76
"
En anden fortolkning er, at ordet ""Gud"" kommer fra ""Gud"" og ""Gudinde"", hvilket peger på en gudinde for hele naturen",     God also created the planets and the stars and the stars and the planets and the planets and the planets and the planets and the planets and the planets and the planets and the planets and the planets and the planets and the planets and the planets and the planets and the planets and the planets and the planets and the planets and the planets and the planets and the planets and the planets and the planets and the planets and the planets and the,"Og Jorden var øde og tom, og der var Mørke over Verdensdybet. Men Guds Ånd svævede over Vandene.",Now the earth was formless and empty. Darkness was on the surface of the deep. God's Spirit was hovering over the surface of the waters.,9,2,0,dan,1.0,eng,1.0
.<|endoftext|>," But, when the heavens and the earth were created, he gave them to Adam and Eve.    6. Du kan velge å ta den samme veien tilbake til den gamle verden. ->  You can choose to go the same way back to the old world.    7. Men dette er ikke det eneste du trenger å vite om denne VPN-en. ->  But this is not the only thing you need to know about","Og Jorden var øde og tom, og der var Mørke over Verdensdybet. Men Guds Ånd svævede over Vandene.",Now the earth was formless and empty. Darkness was on the surface of the deep. God's Spirit was hovering over the surface of the waters.,10,2,0,eng,0.76,eng,1.0
"
Humanismens grundide lyder på at alle mennesker er født med samme kapacitet, vi er skabt til en række opgaver i verden, heriblandt at",.    <|endoftext|>,"Og Jorden var øde og tom, og der var Mørke over Verdensdybet. Men Guds Ånd svævede over Vandene.",Now the earth was formless and empty. Darkness was on the surface of the deep. God's Spirit was hovering over the surface of the waters.,11,2,0,dan,1.0,smn,1.0
"
engelsk: When I first heard the story I knew it was a prophet, who was going to the heavens and earth.
16","    6. - Jeg tror, at vi har brug for lidt mere tid. ->  I think we need a little more time.    7. - Det er en meget stærk og stærk film. ->  It is a very strong and strong movie.    8. Men også i en tid, hvor verden er forandret. ->  In a time where the world is changing.    9. Og jeg kan godt lide","Og Jorden var øde og tom, og der var Mørke over Verdensdybet. Men Guds Ånd svævede over Vandene.",Now the earth was formless and empty. Darkness was on the surface of the deep. God's Spirit was hovering over the surface of the waters.,12,2,0,eng,1.0,dan,1.0
" Men efter at have gået og set sin himmel lavet af støv og sand, fik Han en opgave at gøre i jorden. Efter at have besejret","   Shawna: So there are no physical objects?  Torbjørn: No, there are no physical objects.   Shawna: But are there physical objects?  Torbjørn: Yes, but they are not physical objects.  Shawna: But are there physical objects?  Torbjørn: No, there are no physical objects.  Shawna: But are there physical objects?  Torbjørn:","Og Jorden var øde og tom, og der var Mørke over Verdensdybet. Men Guds Ånd svævede over Vandene.",Now the earth was formless and empty. Darkness was on the surface of the deep. God's Spirit was hovering over the surface of the waters.,13,2,0,dan,1.0,eng,1.0
" Men i en anden bog, skrevet af en ung mand og aflagt i 1323, beskrives jord og himmel således, at det giver","    Det er vigtigt at få det rigtige udstyr til din hund, da det er med til at gøre det nemmere at træne og holde hunden i form. ->  It's important to get the right equipment for your dog as it helps make it easier to train and keep your dog in shape.    Der er 292.000 mennesker, der arbejder i dag, og mange af dem kommer fra lande som Iran","Og Jorden var øde og tom, og der var Mørke over Verdensdybet. Men Guds Ånd svævede over Vandene.",Now the earth was formless and empty. Darkness was on the surface of the deep. God's Spirit was hovering over the surface of the waters.,14,2,0,dan,1.0,dan,1.0
" Han var en mand, der ikke bare var tilgivende, han var også barmhjertig, vred og krævende. Hans øjne blev set af",.<|endoftext|>,"Og Jorden var øde og tom, og der var Mørke over Verdensdybet. Men Guds Ånd svævede over Vandene.",Now the earth was formless and empty. Darkness was on the surface of the deep. God's Spirit was hovering over the surface of the waters.,15,2,0,dan,1.0,eng,0.76
.<|endoftext|>,                                                                                                                                                                                ,"Og Jorden var øde og tom, og der var Mørke over Verdensdybet. Men Guds Ånd svævede over Vandene.",Now the earth was formless and empty. Darkness was on the surface of the deep. God's Spirit was hovering over the surface of the waters.,16,2,0,eng,0.76,smj,1.0
" -> First God formed the ground and the sky.

6. Det er da fantastisk med det samme der ryger en kommentar herinde. -> I am","    11. Danish: Og jeg ved, at han er en stor mand.  English: I know that he is a great man.    12. Danish: Jeg tror, at vi vil være nødt til at komme videre fra dette.""  English: I think we'll have to move on from this.""    13. Danish: Du har ret i, at det ikke var det bedste valg.  ","Og Jorden var øde og tom, og der var Mørke over Verdensdybet. Men Guds Ånd svævede over Vandene.",Now the earth was formless and empty. Darkness was on the surface of the deep. God's Spirit was hovering over the surface of the waters.,17,2,0,dan,1.0,dan,1.0
"
2. 24 1601 61a 62a 66 og 67c. Edd","    6. dansk: Vi har et stort udvalg af høj kvalitet og billige modeller.  engelsk: We have a large selection of high quality and cheap models.    7. dansk: I de næste par dage vil jeg give dig nogle gode råd til, hvordan du kan forbedre din søvn.  engelsk: In the next few days, I will give you some good advice on how to improve your sleep.    8. dansk","Og Jorden var øde og tom, og der var Mørke over Verdensdybet. Men Guds Ånd svævede over Vandene.",Now the earth was formless and empty. Darkness was on the surface of the deep. God's Spirit was hovering over the surface of the waters.,18,2,0,isl,0.69,dan,1.0
" Gud havde brug for jorden og himlen til at skabe liv, at lade liv komme op af jorden og at skabe liv i himlen.
Gud ville så"," God created everything, including the sun and moon, and God created the earth and the sky. God created the sky and the earth, and God created the sun and the moon. God created the heavens and the earth. God created the sky and the earth. God created the sun and the moon. God created the heavens and the earth. God created the sky and the earth. God created the sun and the moon. God created","Og Jorden var øde og tom, og der var Mørke over Verdensdybet. Men Guds Ånd svævede over Vandene.",Now the earth was formless and empty. Darkness was on the surface of the deep. God's Spirit was hovering over the surface of the waters.,19,2,0,dan,1.0,eng,1.0
"
Svaret er, at vi blev til.
Og ved hjælp af Gud skabte vi stjerner.
Hvis vi virkelig forstår Gud.
Som det","    12. norsk: Jeg er en voksen kvinne, og jeg er redd.  engelsk: I am an adult woman and I'm afraid.    13. norsk: Dette er en viktig del av vår kulturarv.  engelsk: This is an important part of our heritage.    14. norsk: Dette er ikke et spørsmål om å være rik eller fattig.  engelsk: This is not a matter of","Og Jorden var øde og tom, og der var Mørke over Verdensdybet. Men Guds Ånd svævede over Vandene.",Now the earth was formless and empty. Darkness was on the surface of the deep. God's Spirit was hovering over the surface of the waters.,20,2,0,dan,1.0,nob,0.99
".
en: The first time God created the sky and the earth.<|endoftext|>",    2. norsk: Dette var ikke min skyld.  engelsk: This was not my fault.    3. norsk: - Det var ikke noe vi ønsket å gjøre.  engelsk: That was not something we wanted to do.    4. norsk: Så hvorfor ikke gi deg selv litt ekstra oppmerksomhet?  engelsk: Why not give yourself some extra attention?    5. norsk: 11.3.,"Og Jorden var øde og tom, og der var Mørke over Verdensdybet. Men Guds Ånd svævede over Vandene.",Now the earth was formless and empty. Darkness was on the surface of the deep. God's Spirit was hovering over the surface of the waters.,21,2,0,eng,1.0,nob,1.0
" I den første kristne tid, var det en gud der gav sit navn ved navn til himlen og som gik ved siden af og gjorde det muligt at der",".    A:    I'm going to go with the 3-D version:    The Earth is the center of the Universe, the Sun is the center of the Sun, and the Moon is the center of the Moon.    The Moon is the center of the Sun.    The Sun is the center of the Earth.    The Earth is the center of the Universe.    <|endoftext|>","Og Jorden var øde og tom, og der var Mørke over Verdensdybet. Men Guds Ånd svævede over Vandene.",Now the earth was formless and empty. Darkness was on the surface of the deep. God's Spirit was hovering over the surface of the waters.,22,2,0,dan,1.0,eng,1.0
"

15. Engelsk: It depends on whether we see this as a good practice or a sinful act.
Dansk: Det handler om","    ""And God created the heavens and the earth and all that is in them, and they were the heavens, and the earth, and all that is in them; and God created the heavens and the earth and all that is in them.""    (Koran 4:25) ""And God created the heavens and the earth and all that is in them, and they were the heavens,","Og Jorden var øde og tom, og der var Mørke over Verdensdybet. Men Guds Ånd svævede over Vandene.",Now the earth was formless and empty. Darkness was on the surface of the deep. God's Spirit was hovering over the surface of the waters.,23,2,0,eng,1.0,eng,1.0
