danish_predicted_output,english_predicted_output,danish_true_label,english_true_label,layer,lambda_amount,bible_verse
" den som tror på mig, han skal ikke i livet gå glip af noget fra denne arken; 2 Krøn. 4,7."," 36 And the LORD said unto me, If thou hast done as I commanded thee, then thou shalt be forgiven. 37 And the LORD said unto me, The days of thy reign are come, and thou hast made the heavens, and the earth","jeg opretter min Pagt med eder og lover, at aldrig mere skal alt Kød udryddes af Flodens Vande, og aldrig mere skal der komme en Vandflod for at ødelægge Jorden!""","I will establish my covenant with you: all flesh will not be cut off any more by the waters of the flood, neither will there ever again be a flood to destroy the earth.""",0,2,215
" alle de vilde fugle og allieret med dem, som gik i flokke over jorden, de vilde hjorte og alle græssende hyrder",.<|endoftext|>,"jeg opretter min Pagt med eder og lover, at aldrig mere skal alt Kød udryddes af Flodens Vande, og aldrig mere skal der komme en Vandflod for at ødelægge Jorden!""","I will establish my covenant with you: all flesh will not be cut off any more by the waters of the flood, neither will there ever again be a flood to destroy the earth.""",1,2,215
" og Gud Fader i himlen gav dem til en bolig, og de tog op til Gud Fader. Det er sagt: De døde, som går bort for","    svenska: Du kan använda de bästa produkterna från kända märken, som innehåller naturliga ingredienser.  engelska: You can use the best products from the famous brands, which contain natural ingredients.    svenska: Och vi vet hur svårt det är att ta hand om en hund.  engelska","jeg opretter min Pagt med eder og lover, at aldrig mere skal alt Kød udryddes af Flodens Vande, og aldrig mere skal der komme en Vandflod for at ødelægge Jorden!""","I will establish my covenant with you: all flesh will not be cut off any more by the waters of the flood, neither will there ever again be a flood to destroy the earth.""",2,2,215
" alt, hvad som var i og ved de aabne vidder, alt, som gik ud af havet, alt, hvad der gik ud af",.<|endoftext|>,"jeg opretter min Pagt med eder og lover, at aldrig mere skal alt Kød udryddes af Flodens Vande, og aldrig mere skal der komme en Vandflod for at ødelægge Jorden!""","I will establish my covenant with you: all flesh will not be cut off any more by the waters of the flood, neither will there ever again be a flood to destroy the earth.""",3,2,215
; alt dette i den yderste fremtid.<|endoftext|>,"  17:24 Och allt vad som är med eder, vad som är i eder hand, allt vad som är med eder, det skall I hava i eder hand, så ock allt vad som är i eder hand, vad som är med eder, det skall I hava i eder","jeg opretter min Pagt med eder og lover, at aldrig mere skal alt Kød udryddes af Flodens Vande, og aldrig mere skal der komme en Vandflod for at ødelægge Jorden!""","I will establish my covenant with you: all flesh will not be cut off any more by the waters of the flood, neither will there ever again be a flood to destroy the earth.""",4,2,215
" 25 og alt, hvad der gik ind i arken, alt, hvad der medgik dertil; 26 alle jordens afgrøder","  14:14. In this way you will keep the word of the Lord in the hearts of every man, and he will not be in any way ashamed, nor will he be ashamed of the word of the Lord.  14:15. And he will be","jeg opretter min Pagt med eder og lover, at aldrig mere skal alt Kød udryddes af Flodens Vande, og aldrig mere skal der komme en Vandflod for at ødelægge Jorden!""","I will establish my covenant with you: all flesh will not be cut off any more by the waters of the flood, neither will there ever again be a flood to destroy the earth.""",5,2,215
" for at I i min Søn, Jesu Kristi, Navn maatte være fuldkomne, fuldkomne i alle ting, fuldkomne i al evighed, fuld"," 16For this is the law of the Lord God, which I have commanded your fathers, and of all the nations, that they will not kill a living creature.    17But if you kill a living creature, you shall eat it; but if you kill a dead","jeg opretter min Pagt med eder og lover, at aldrig mere skal alt Kød udryddes af Flodens Vande, og aldrig mere skal der komme en Vandflod for at ødelægge Jorden!""","I will establish my covenant with you: all flesh will not be cut off any more by the waters of the flood, neither will there ever again be a flood to destroy the earth.""",6,2,215
" alt, hvad der gik ud af arken; intet menneske har syndet."" ‭‭Ess.‬ "," And the Lord your God will give you a land of the earth, and you will live there forever.  10  2. I will give you all the land of the land of the sea, and I will give you all the land of the land of the air, and I","jeg opretter min Pagt med eder og lover, at aldrig mere skal alt Kød udryddes af Flodens Vande, og aldrig mere skal der komme en Vandflod for at ødelægge Jorden!""","I will establish my covenant with you: all flesh will not be cut off any more by the waters of the flood, neither will there ever again be a flood to destroy the earth.""",7,2,215
" hver kødædende skabning og fugle og de vilde dyr, alle jordens skabninger, fugle, som går ned i arken til Jorden, alle"," 20 And all that go out of the ship, and are not in the house of the LORD, and are not in the house of the LORD, shall be put into the ark, and they shall be in the ark, and they shall be as a burnt offering","jeg opretter min Pagt med eder og lover, at aldrig mere skal alt Kød udryddes af Flodens Vande, og aldrig mere skal der komme en Vandflod for at ødelægge Jorden!""","I will establish my covenant with you: all flesh will not be cut off any more by the waters of the flood, neither will there ever again be a flood to destroy the earth.""",8,2,215
" det er ikke for, men for at I skal forstå, hvor forladte I er i al denne verdens ulykke og undergang; 26","      For we are not of this world, but of the kingdom of God, and of the Holy Spirit, and of the Holy Ghost, and of the Father, and of the Son, and of the Holy Spirit, and of the Holy Ghost, and of the Father, and","jeg opretter min Pagt med eder og lover, at aldrig mere skal alt Kød udryddes af Flodens Vande, og aldrig mere skal der komme en Vandflod for at ødelægge Jorden!""","I will establish my covenant with you: all flesh will not be cut off any more by the waters of the flood, neither will there ever again be a flood to destroy the earth.""",9,2,215
