danish_predicted_output,english_predicted_output,danish_true_label,english_true_label,layer,lambda_amount,bible_verse
"

I dette tilfellet er det ikke viktig hvilken karakter som følger fra det gode til det onde, bare mennesket forblir lykkelig og ikke kommer seg i kr", and it was not long before he rose up again. and he was the one who gave the king the golden crown. and he was the one who took the throne of the earth. and he was the one who gave the king the golden crown. and he was the one who took the throne of the earth. and he was the one who gave the king the golden crown. and he,"Han var en vældig Jæger for HERRENs Øjne; derfor siger man: ""En vældig Jæget for HERRENs Øjne som Nimrod.""","He was a mighty hunter before Yahweh. Therefore it is said, ""Like Nimrod, a mighty hunter before Yahweh.""",0,2,242
"

Bare det å sette pris på de naturlige duftene, samt være bevisst på at parfyme er et produkt, sier hun. Det er","  danish: Det blev til en kamp for at få ham til at forlade jorden, og den endte med at koste ham hans liv.  english: It was a battle to get him to leave the earth, and it ended with his death.  danish: Det er ikke noget problem at bruge et system til at holde styr på dine produkter.  english: It is not a","Han var en vældig Jæger for HERRENs Øjne; derfor siger man: ""En vældig Jæget for HERRENs Øjne som Nimrod.""","He was a mighty hunter before Yahweh. Therefore it is said, ""Like Nimrod, a mighty hunter before Yahweh.""",1,2,242
" Du kan ikke legge så mye vekt på den fysiske oppførsel, men det er verdt å merke seg at det er ingen grunn til å tro på magi"," but he was a man, a god, and a warrior, and he had an army of men and horses and men and horses, and he was a mighty man. he was a mighty man, and he was a warrior, and he was a mighty man. and he was a mighty man, and he was a warrior, and he was a mighty man.","Han var en vældig Jæger for HERRENs Øjne; derfor siger man: ""En vældig Jæget for HERRENs Øjne som Nimrod.""","He was a mighty hunter before Yahweh. Therefore it is said, ""Like Nimrod, a mighty hunter before Yahweh.""",2,2,242
.<|endoftext|>,"  Leviticus 21  Nimrod is a great god who is not like other gods. He is a god who is strong, but he is not like other gods. He is a god who is a god. He is a god who is like the sun. He is like the moon. He is like the stars. He is like the water. He is","Han var en vældig Jæger for HERRENs Øjne; derfor siger man: ""En vældig Jæget for HERRENs Øjne som Nimrod.""","He was a mighty hunter before Yahweh. Therefore it is said, ""Like Nimrod, a mighty hunter before Yahweh.""",3,2,242
" Da han ennu ikke hadde gjort alt dette, gav han ham den mest strålende og fremragende ed at han aldri vilde gjøre det. — Men de gjorde",".    During the battle, he was defeated by the king. But he was not defeated by his father. He was defeated by his son, king.<|endoftext|>","Han var en vældig Jæger for HERRENs Øjne; derfor siger man: ""En vældig Jæget for HERRENs Øjne som Nimrod.""","He was a mighty hunter before Yahweh. Therefore it is said, ""Like Nimrod, a mighty hunter before Yahweh.""",4,2,242
" Etter nimrods død måtte han etterfølge sin bror Diodorus, som imidlertid kunne ha fått det vanskelig. Diodorus var ikke særlig"," he became a powerful force on the earth. his power grew to a great extent. he was a mighty force on the earth. he became a powerful force on the earth.    ""he became a powerful force on the earth. he became a powerful force on the earth. he became a powerful force on the earth. he became a powerful force on the earth. he became a","Han var en vældig Jæger for HERRENs Øjne; derfor siger man: ""En vældig Jæget for HERRENs Øjne som Nimrod.""","He was a mighty hunter before Yahweh. Therefore it is said, ""Like Nimrod, a mighty hunter before Yahweh.""",5,2,242
"
engelsk: That one time he took us to the forest of the Seven Scythe, and let us find out why one of the Scy",.<|endoftext|>,"Han var en vældig Jæger for HERRENs Øjne; derfor siger man: ""En vældig Jæget for HERRENs Øjne som Nimrod.""","He was a mighty hunter before Yahweh. Therefore it is said, ""Like Nimrod, a mighty hunter before Yahweh.""",6,2,242
 Et stort og kraftig hjul ble satt på en tretthetsforsterker - en slags høyttaler som har et høytalerrør som blir presset,"  Acknowledgments  I am very grateful to the following people who have contributed to this book:  Gary Gough, author of the classic The Myth of Nimrod, who has given me many hours of reading and writing, and my agent, Dr. Stephen Schwartz.  Cheryl Hearn, who has always been supportive and knowledgeable, and","Han var en vældig Jæger for HERRENs Øjne; derfor siger man: ""En vældig Jæget for HERRENs Øjne som Nimrod.""","He was a mighty hunter before Yahweh. Therefore it is said, ""Like Nimrod, a mighty hunter before Yahweh.""",7,2,242
" Denne var konge over Egyptene og Syria. Med ham oppstod et sverd. Dette sverd, er den viktigste og farligste av alle s",.    ===    Generate a title for this article:  nimrod's death<|endoftext|>,"Han var en vældig Jæger for HERRENs Øjne; derfor siger man: ""En vældig Jæget for HERRENs Øjne som Nimrod.""","He was a mighty hunter before Yahweh. Therefore it is said, ""Like Nimrod, a mighty hunter before Yahweh.""",8,2,242
"

English: In some cases, the same person has had his or her life changed.
Norwegian: I noen tilfeller kan den samme personen","  ""Who is he?"" he said.  ""He is the Great Cush,"" said the earth. ""He is the Great Cush. He is the Great Cush.""  ""I do not know him,"" said the earth. ""I have not heard of him.""  ""He is the Great Cush,"" said the earth.  ""What is he doing here?""","Han var en vældig Jæger for HERRENs Øjne; derfor siger man: ""En vældig Jæget for HERRENs Øjne som Nimrod.""","He was a mighty hunter before Yahweh. Therefore it is said, ""Like Nimrod, a mighty hunter before Yahweh.""",9,2,242
