danish_predicted_output,english_predicted_output,danish_true_label,english_true_label,layer,lambda_amount,bible_verse
" (2. Sam 6,9).
Da jeg sagde til israelitternes herskere: ""Hvad skal vi gøre, for at gøre","  ""What is the covenant?"" Noah asks.  ""It is a covenant to preserve the children of Israel. The covenant is a covenant between the father and the mother and between you and me. And the covenant is for the whole earth to be holy, and to be clean, and to","Noas Sønner, der gik ud af Arken, var Sem, Kam og Jafet; Kam var Fader til Kana'an;","The sons of Noah who went out from the ship were Shem, Ham, and Japheth. Ham is the father of Canaan.",0,2,222
"""<|endoftext|>","    15. dansk: For at få et godt indtryk af Hotel La Chambre i Cognac-la-Motte kan du tage et kig på billederne af Hotel La Chambre.  engelsk: Have a look at the reviews of Hotel La Chambre in Cognac-la-Motte, placed by","Noas Sønner, der gik ud af Arken, var Sem, Kam og Jafet; Kam var Fader til Kana'an;","The sons of Noah who went out from the ship were Shem, Ham, and Japheth. Ham is the father of Canaan.",1,2,222
"""<|endoftext|>","  Abraham said, ""I will not be a god to you, and I will not be a god to anyone else. I will not be a god to anyone, but I will be the God of the heavens and the earth and the sea and the air and all that is in them. And I will be the God of","Noas Sønner, der gik ud af Arken, var Sem, Kam og Jafet; Kam var Fader til Kana'an;","The sons of Noah who went out from the ship were Shem, Ham, and Japheth. Ham is the father of Canaan.",2,2,222
" 12 ""Hvad er grunden til, at du står ved et hav uden ende? For mig skal der ikke være nogen grænse!"" 13"," 31:23  ""You know, Noah, that in the days of your father, I was the first to call upon you to save the world, and I have called upon you to save the earth.""  31:24  ""And I have called upon you to save the world, and I have called upon","Noas Sønner, der gik ud af Arken, var Sem, Kam og Jafet; Kam var Fader til Kana'an;","The sons of Noah who went out from the ship were Shem, Ham, and Japheth. Ham is the father of Canaan.",3,2,222
"""
The king said to Noah, ""It is the sign of that covenant I am writing between me and all flesh on the earth.""<|endoftext|>","""  27:11 and the people heard the words of the Lord, and said, ""It is the token of the covenant that I have established between me and all flesh that is on the earth.""<|endoftext|>","Noas Sønner, der gik ud af Arken, var Sem, Kam og Jafet; Kam var Fader til Kana'an;","The sons of Noah who went out from the ship were Shem, Ham, and Japheth. Ham is the father of Canaan.",4,2,222
"
15:7 Og Abimelek skal da, efter at have hørt dette, oprette en pagt og kalde den mellem Israel og Juda","  I don't know how long I've been reading this book, but I can't help thinking of it as a new kind of Bible, or perhaps a new type of book for the younger generation. It's a book that is about God, but about his people, and it's about the people who are God","Noas Sønner, der gik ud af Arken, var Sem, Kam og Jafet; Kam var Fader til Kana'an;","The sons of Noah who went out from the ship were Shem, Ham, and Japheth. Ham is the father of Canaan.",5,2,222
"""<|endoftext|>","  12:13 When the ark was laid on the ground, the people cried out, ""What has become of him that was brought into the ark?""  12:14 And the Lord said to them, ""Go and bring him to me."" And they brought him to him.  12:15 And the","Noas Sønner, der gik ud af Arken, var Sem, Kam og Jafet; Kam var Fader til Kana'an;","The sons of Noah who went out from the ship were Shem, Ham, and Japheth. Ham is the father of Canaan.",6,2,222
"
45But on the seventh day Abraham called out to the LORD: ""Is it not written in the book of Moses, saying, '",                                                                                                                                          ,"Noas Sønner, der gik ud af Arken, var Sem, Kam og Jafet; Kam var Fader til Kana'an;","The sons of Noah who went out from the ship were Shem, Ham, and Japheth. Ham is the father of Canaan.",7,2,222
" Det var alt, hvad Gud lovede Noa. Den dag i dag går Noa rundt blandt israelitterne og siger til dem, at de","    But noah said, ""I am a good man, and I have kept this covenant.""    And the LORD said to Noah, ""Do not be afraid, because I have chosen you. I will give you a wife, and you will be my daughter. And she will be a daughter of a good man","Noas Sønner, der gik ud af Arken, var Sem, Kam og Jafet; Kam var Fader til Kana'an;","The sons of Noah who went out from the ship were Shem, Ham, and Japheth. Ham is the father of Canaan.",8,2,222
" Og han gav ahek sin hustru, og de havde ingen børn. Når noa havde sagt dette, huggede han hånden ud af hendes,","""<|endoftext|>","Noas Sønner, der gik ud af Arken, var Sem, Kam og Jafet; Kam var Fader til Kana'an;","The sons of Noah who went out from the ship were Shem, Ham, and Japheth. Ham is the father of Canaan.",9,2,222
