danish_predicted_output,english_predicted_output,danish_true_label,english_true_label,layer,lambda_amount,bible_verse
" hvad kan det have med det gamle testamente at gøre?
39:38 Kain svarede: ""Alt hvad jeg har at gøre hermed,"," why are you trembling?""  Caine replied, ""Because you have lost all your strength. You have no strength left.""  ""I have strength,"" said cain. ""I can make my way back to my people.""  ""That is not true,"" said cain. ""I have strength and strength will not save you.""  ""You are a coward","Du ved, at når du handler vel, kan du løfte Hovedet frit; men handler du ikke vel, så lurer Synden ved Døren; dens Attrå står til dig, men du skal herske over den!""","If you do well, will it not be lifted up? If you don't do well, sin crouches at the door. Its desire is for you, but you are to rule over it.""",0,2,85
" og hvorfor har du intet svar på, hvad der sker?"" På vej hjem til sin mors hus, hvor han boede, sagde kain: ""Har"," do you not understand?""  Cain answered, ""the expression of my face is because I am angry.""  ""But the expression of your face is because you are angry.""  ""I am angry because I am angry.""  ""Then why is your face so angry?""  ""Because I am angry.""  ""And I am angry because I am angry.""  ""","Du ved, at når du handler vel, kan du løfte Hovedet frit; men handler du ikke vel, så lurer Synden ved Døren; dens Attrå står til dig, men du skal herske over den!""","If you do well, will it not be lifted up? If you don't do well, sin crouches at the door. Its desire is for you, but you are to rule over it.""",1,2,85
" 2""
En ny krig er igang igen efter at det gik godt sidst. Før var der kun én krig, men nu er krig igen.","  13:16 But when he came to his father's house, and saw his father's face, he said to him, ""What have I done to you?""  13:17 ""I have said to you, 'You shall not eat from the tree of the knowledge of God.'""  13:18 And he said to","Du ved, at når du handler vel, kan du løfte Hovedet frit; men handler du ikke vel, så lurer Synden ved Døren; dens Attrå står til dig, men du skal herske over den!""","If you do well, will it not be lifted up? If you don't do well, sin crouches at the door. Its desire is for you, but you are to rule over it.""",2,2,85
"
""Og jeg siger dig, at dine fjender er ikke værre end sølle aber."" – Mattæus 11.30"," Why is your hand trembling? Why is your heart beating? Is there a God?"" The king said, ""I am angry with the people of Israel for their wickedness. I am angry with the people of Judah for their wickedness. I am angry with the people of Samaria for their wickedness. I am angry with the people of Egypt for their wickedness","Du ved, at når du handler vel, kan du løfte Hovedet frit; men handler du ikke vel, så lurer Synden ved Døren; dens Attrå står til dig, men du skal herske over den!""","If you do well, will it not be lifted up? If you don't do well, sin crouches at the door. Its desire is for you, but you are to rule over it.""",3,2,85
 det er jo for at slå den ihjel. hvordan kan det være du bliver vred? jeg mener du har givet os ret til at dræbe den.," why have you turned away from me?""  ""I am angry at myself,"" Caine said. ""I am angry at the way I have treated you. I am angry that you have failed to save my life. I am angry that you have failed to save my life.""  ""What is your name?"" Caine asked.  ""Sawyer.""  ""What","Du ved, at når du handler vel, kan du løfte Hovedet frit; men handler du ikke vel, så lurer Synden ved Døren; dens Attrå står til dig, men du skal herske over den!""","If you do well, will it not be lifted up? If you don't do well, sin crouches at the door. Its desire is for you, but you are to rule over it.""",4,2,85
"
25:25 Da sagde Manden til Kain: »Hvorledes har du, når jeg går foran med min Hjælm og"," why are you angry?""  Caine replied, ""Because I am angry with you.""  ""You mean you are angry with me?""  ""You mean you are angry with me because I have done evil, not you. I have done evil. I have done evil. I am angry with you.""  ""Why did you do evil?""  ""Because I was angry","Du ved, at når du handler vel, kan du løfte Hovedet frit; men handler du ikke vel, så lurer Synden ved Døren; dens Attrå står til dig, men du skal herske over den!""","If you do well, will it not be lifted up? If you don't do well, sin crouches at the door. Its desire is for you, but you are to rule over it.""",5,2,85
"
7. Engelsk: What happened next was great.
Dansk: Hvad der herefter skete var fantastisk.
8. Engelsk: The more you see"," for you are a god."" 21And cain said to the Lord, ""The Lord says to me, 'You are angry because I am angry.'"" 22And the Lord said to cain, ""Behold, I am angry because you are angry."" 23And cain said to the Lord, ""The Lord says to me, '","Du ved, at når du handler vel, kan du løfte Hovedet frit; men handler du ikke vel, så lurer Synden ved Døren; dens Attrå står til dig, men du skal herske over den!""","If you do well, will it not be lifted up? If you don't do well, sin crouches at the door. Its desire is for you, but you are to rule over it.""",6,2,85
?<|endoftext|>," You have become a man of the world and you have become a man of God.""    A few days after that, he said to cain, ""I have been a man of the world, and I have been a man of God.""    He then said to cain, ""I have become a man of the world, and I have become a man of","Du ved, at når du handler vel, kan du løfte Hovedet frit; men handler du ikke vel, så lurer Synden ved Døren; dens Attrå står til dig, men du skal herske over den!""","If you do well, will it not be lifted up? If you don't do well, sin crouches at the door. Its desire is for you, but you are to rule over it.""",7,2,85
"
Engelsk: 58 Therefore the LORD said to Cain, ""Why are you angry, and why do you walk with lowered head?"," you have not done anything to harm me.""  ""I am not angry,"" cain said. ""I am angry at the things that have happened to me.""  ""You are angry at what? the things that have happened to you?""  ""I am angry at you.""  ""I am angry at you, too.""  ""I am not angry at you,""","Du ved, at når du handler vel, kan du løfte Hovedet frit; men handler du ikke vel, så lurer Synden ved Døren; dens Attrå står til dig, men du skal herske over den!""","If you do well, will it not be lifted up? If you don't do well, sin crouches at the door. Its desire is for you, but you are to rule over it.""",8,2,85
" ""
svensk: Men min herra sade till Kain: ""Varför är du vred och varför gäspar du?
dansk: Disse oplysninger"," why is your tongue and your lips like that?""  Caine replied, ""You have been doing wrong, I am sorry. The Lord of the Rings.""  ""I am sorry, what?""  ""You have been doing wrong,"" Caine said again.  ""Why?""  ""Because you are not a man.""  ""But I am a man,"" I said","Du ved, at når du handler vel, kan du løfte Hovedet frit; men handler du ikke vel, så lurer Synden ved Døren; dens Attrå står til dig, men du skal herske over den!""","If you do well, will it not be lifted up? If you don't do well, sin crouches at the door. Its desire is for you, but you are to rule over it.""",9,2,85
