danish_predicted_output,english_predicted_output,danish_true_label,english_true_label,layer,lambda_amount,bible_verse
" 18 Da det var blevet lyst, og manden gik til deres mor, 19 gav han hende et sølvrør, som hang i et",  Anaya: The story of the three children in the family. I'm not sure what you're asking for.   Bertil: The story of the three children in the family. I'm not sure what you',"Da Noa vågnede af sin Rus og fik at vide, hvad hans yngste Søn havde gjort ved ham,","Noah awoke from his wine, and knew what his youngest son had done to him.",0,2,228
" Han blev vred paa dem og sagde til dem: »Nu er dette sted i den henseende, at en røver er forfulgt ud i al Verden",.<|endoftext|>,"Da Noa vågnede af sin Rus og fik at vide, hvad hans yngste Søn havde gjort ved ham,","Noah awoke from his wine, and knew what his youngest son had done to him.",1,2,228
" Da denne havde lagt deres faders mundklæde over deres faders skuldre og deres faders mundklæde over hans ansigter, kom de i lag","  And the king sat down.  And the king said, ""I am going to put this on my head, and it shall be a crown of the people, and a crown of the people shall be on it.""  And the people did","Da Noa vågnede af sin Rus og fik at vide, hvad hans yngste Søn havde gjort ved ham,","Noah awoke from his wine, and knew what his youngest son had done to him.",2,2,228
" »Og jeg tænkte, at det i grunden var et forsøg på at berolige hans far, for han vidste jo godt, hvad der var på"," their faces were backward, and they didn't see their father's nakedness.  da de havde været i en fart, gik de ud af deres hus, og da de kom tilbage, var deres far og mor ikke der. deres far","Da Noa vågnede af sin Rus og fik at vide, hvad hans yngste Søn havde gjort ved ham,","Noah awoke from his wine, and knew what his youngest son had done to him.",3,2,228
"

10 I det samme kom Abrahams mænd til ham; de holdt med ham, og de sagde til ham: »Mit hjerte har"," they were all naked, and their father was naked.    Derek: Hi, I'm your automated assistant. I can answer your questions about The Story of the Rising Sun.  Rachael: What is The Story of","Da Noa vågnede af sin Rus og fik at vide, hvad hans yngste Søn havde gjort ved ham,","Noah awoke from his wine, and knew what his youngest son had done to him.",4,2,228
" ""Hvor har du din magt fra?"" spurgte Semkhal, idet han så op. ""Jeg har altid været mægtig. Hvor længe siden","  The Jews were very angry. They were very angry with their father, but they didn't know what to do. They had no clothes to cover their nakedness with. They didn't know what to do. They didn't know","Da Noa vågnede af sin Rus og fik at vide, hvad hans yngste Søn havde gjort ved ham,","Noah awoke from his wine, and knew what his youngest son had done to him.",5,2,228
.<|endoftext|>,". they were naked in front of their father, and they didn't see their father's nakedness.<|endoftext|>","Da Noa vågnede af sin Rus og fik at vide, hvad hans yngste Søn havde gjort ved ham,","Noah awoke from his wine, and knew what his youngest son had done to him.",6,2,228
" Da var Jesus midt iblandt dem; dog var han som en stor skygge bagved dem, som et menneske med sit forklæde; og der var så",.    <|endoftext|>,"Da Noa vågnede af sin Rus og fik at vide, hvad hans yngste Søn havde gjort ved ham,","Noah awoke from his wine, and knew what his youngest son had done to him.",7,2,228
.<|endoftext|>," their faces were back, and they didn't see their father's nakedness. their faces were backwards, and they didn't see their father's nakedness.  5:38 And it came to pass, when the people","Da Noa vågnede af sin Rus og fik at vide, hvad hans yngste Søn havde gjort ved ham,","Noah awoke from his wine, and knew what his youngest son had done to him.",8,2,228
"
16:30 Derfor sagde Herren til Moses: Giv dig af med mit ord, og kom bort fra mig. 16:3",                                                                                                    ,"Da Noa vågnede af sin Rus og fik at vide, hvad hans yngste Søn havde gjort ved ham,","Noah awoke from his wine, and knew what his youngest son had done to him.",9,2,228
