danish_predicted_output,english_predicted_output,danish_true_label,english_true_label,layer,lambda_amount,bible_verse
" Men jeg blev så forbløffet, at jeg sagde ""jeg har aldrig hørt nogen sige det andet for et levende menneske"". Så sagde han: ""","  I sat down with him. ""I am very much afraid of the matter,"" I said, ""but I do not wish to be married to a woman who has a passion for a man. I do not wish to be married to a woman who has a passion for me. I am a","Og til Adam sagde han: ""Fordi du lyttede til din Hustrus Tale og spiste af Træet, som jeg sagde, du ikke måtte spise af, skal Jorden være forbandet for din Skyld; med Møje skal du skaffe dig Føde af den alle dit Livs Dage;","To Adam he said, ""Because you have listened to your wife's voice, and have eaten of the tree, of which I commanded you, saying, 'You shall not eat of it,' cursed is the ground for your sake. In toil you will eat of it all the days of your life.",0,2,71
"
And again, as the prophet said to the woman, ""I want to make you more and more numerous in my labor; with heavy pain"," He said this to her, ""you must bear children.""  When she had made this request, she gave birth to a son. The man was named Levi, and he was the firstborn of the Israelites. The Israelites called him the Lord, because he was the Lord of the heav","Og til Adam sagde han: ""Fordi du lyttede til din Hustrus Tale og spiste af Træet, som jeg sagde, du ikke måtte spise af, skal Jorden være forbandet for din Skyld; med Møje skal du skaffe dig Føde af den alle dit Livs Dage;","To Adam he said, ""Because you have listened to your wife's voice, and have eaten of the tree, of which I commanded you, saying, 'You shall not eat of it,' cursed is the ground for your sake. In toil you will eat of it all the days of your life.",1,2,71
" - ""Ja, Herre! du skulle vide, hvorledes det vil gå den jord, som jeg har været jomfru på, da jeg fødte min","    He then said, ""Now, my dear wife, I have a son, and I have not had a wife since I was twenty-five years old.""    He then asked her, ""I am very much concerned about your future, because I have a son who will be very","Og til Adam sagde han: ""Fordi du lyttede til din Hustrus Tale og spiste af Træet, som jeg sagde, du ikke måtte spise af, skal Jorden være forbandet for din Skyld; med Møje skal du skaffe dig Føde af den alle dit Livs Dage;","To Adam he said, ""Because you have listened to your wife's voice, and have eaten of the tree, of which I commanded you, saying, 'You shall not eat of it,' cursed is the ground for your sake. In toil you will eat of it all the days of your life.",2,2,71
" De besluttede sig for at tage et nyt forlæg; thi de var begge udi en alder, som syntes alt for høj.
Da deres barn","  The woman, having said these words, said to the man, ""you must be careful, for I am a woman, and I am a father.""  The man replied, ""If I should be able to bring a child to my wife, then you will not be able to bring a","Og til Adam sagde han: ""Fordi du lyttede til din Hustrus Tale og spiste af Træet, som jeg sagde, du ikke måtte spise af, skal Jorden være forbandet for din Skyld; med Møje skal du skaffe dig Føde af den alle dit Livs Dage;","To Adam he said, ""Because you have listened to your wife's voice, and have eaten of the tree, of which I commanded you, saying, 'You shall not eat of it,' cursed is the ground for your sake. In toil you will eat of it all the days of your life.",3,2,71
"
2:20 og HERREN sagde til mig: ""Slå dit spædbarn i hjel; lad det få sin fars hånd.
"," And he said, ""I will multiply your pain in childbirth.""  And he said, ""If you desire to be a mother, you must have a son. If you desire to be a father, you must have a son."" And he said, ""I will multiply your pain","Og til Adam sagde han: ""Fordi du lyttede til din Hustrus Tale og spiste af Træet, som jeg sagde, du ikke måtte spise af, skal Jorden være forbandet for din Skyld; med Møje skal du skaffe dig Føde af den alle dit Livs Dage;","To Adam he said, ""Because you have listened to your wife's voice, and have eaten of the tree, of which I commanded you, saying, 'You shall not eat of it,' cursed is the ground for your sake. In toil you will eat of it all the days of your life.",4,2,71
" 37 Så sagde en anden: ""Det må være mig et helligt sted, derfor bor jeg her. Men for at din mand skal få","  The woman cried out, ""I am a woman, and I am not a child. I am not a man. I am a woman.""  ""Oh, you are not a man,"" said the man, ""for you are a woman.""  The woman cried again, ""I am","Og til Adam sagde han: ""Fordi du lyttede til din Hustrus Tale og spiste af Træet, som jeg sagde, du ikke måtte spise af, skal Jorden være forbandet for din Skyld; med Møje skal du skaffe dig Føde af den alle dit Livs Dage;","To Adam he said, ""Because you have listened to your wife's voice, and have eaten of the tree, of which I commanded you, saying, 'You shall not eat of it,' cursed is the ground for your sake. In toil you will eat of it all the days of your life.",5,2,71
" Efter syv dage fødte Mahlon i sin vogn syv børn. To sønner blev det, den ældste 
3 år gammel, den yngste ","  ""He will not,"" said the woman. ""He is an evil man, and he is the son of a man who does not love his wife.""  ""He is your husband,"" said the man. ""He will take care of you and you will be happy. But if you do","Og til Adam sagde han: ""Fordi du lyttede til din Hustrus Tale og spiste af Træet, som jeg sagde, du ikke måtte spise af, skal Jorden være forbandet for din Skyld; med Møje skal du skaffe dig Føde af den alle dit Livs Dage;","To Adam he said, ""Because you have listened to your wife's voice, and have eaten of the tree, of which I commanded you, saying, 'You shall not eat of it,' cursed is the ground for your sake. In toil you will eat of it all the days of your life.",6,2,71
" ->
18 Þá sagði konan við hann: ""Svo vil eg þóknast þér og gefa þér margar barnvexti: og til"," 26 When the woman heard this, she said to her husband, ""I am not like your wife."" 27 She said to the man, ""It is not your son, but your daughter, who is in your womb, and who is with you."" 28 He","Og til Adam sagde han: ""Fordi du lyttede til din Hustrus Tale og spiste af Træet, som jeg sagde, du ikke måtte spise af, skal Jorden være forbandet for din Skyld; med Møje skal du skaffe dig Føde af den alle dit Livs Dage;","To Adam he said, ""Because you have listened to your wife's voice, and have eaten of the tree, of which I commanded you, saying, 'You shall not eat of it,' cursed is the ground for your sake. In toil you will eat of it all the days of your life.",7,2,71
" -> 1. The one who had been talking to the woman answered him, ""I will greatly multiply your hardship of pregnancy; with pain","  ""But what if he dies, and I don't have a son?""  ""Well, then I will make a son of you, and you will bear his name. When he is born, you will bear him in your arms.""  ""But how will I know if I am","Og til Adam sagde han: ""Fordi du lyttede til din Hustrus Tale og spiste af Træet, som jeg sagde, du ikke måtte spise af, skal Jorden være forbandet for din Skyld; med Møje skal du skaffe dig Føde af den alle dit Livs Dage;","To Adam he said, ""Because you have listened to your wife's voice, and have eaten of the tree, of which I commanded you, saying, 'You shall not eat of it,' cursed is the ground for your sake. In toil you will eat of it all the days of your life.",8,2,71
"

engelsk: The city's 12 largest companies are under no obligation to respond.
dansk: De 12 største selskaber i","    I have a very strong feeling that my husband will be the one to have the first baby, and that he will rule over me in the interim. I am not sure how to feel about it. I don't want to feel guilty about the fact that I am going to be the","Og til Adam sagde han: ""Fordi du lyttede til din Hustrus Tale og spiste af Træet, som jeg sagde, du ikke måtte spise af, skal Jorden være forbandet for din Skyld; med Møje skal du skaffe dig Føde af den alle dit Livs Dage;","To Adam he said, ""Because you have listened to your wife's voice, and have eaten of the tree, of which I commanded you, saying, 'You shall not eat of it,' cursed is the ground for your sake. In toil you will eat of it all the days of your life.",9,2,71
