danish_predicted_output,english_predicted_output,danish_true_label,english_true_label,layer,lambda_amount,bible_verse
" Men en morgen spurgte Bakkene ham, om han ikke skulde have en god dag, han og hans kammeraterne. ""Nu ja"", sagde B"," He was dressed in a white shirt and pants, and his hair was in a bun.  ""We are all going to be killed,"" he said.  ""I'll be killed,"" said the woman.  ""No, no, you'll be killed,"" he said.  ""It's not over,"" she said.  He was lying on his back in the tent, his head c",Da så Kana'ans Fader Kam sin Faders Blusel og gik ud og fortalte sine Brødre det;,"Ham, the father of Canaan, saw the nakedness of his father, and told his two brothers outside.",0,2,226
" Hun blev da i belejringen og blev ikke til at stanse, saa hun styrtede om paa et andet sted; men manden som laa og sov",  he went into the tent.  he was asleep.  he woke up.  he looked at the light.  he looked at the light.  he looked at the light.  he looked at the light.  he looked at the light.  he looked at the light.  he looked at the light.  he looked at the light.  he looked at the light.  he looked,Da så Kana'ans Fader Kam sin Faders Blusel og gik ud og fortalte sine Brødre det;,"Ham, the father of Canaan, saw the nakedness of his father, and told his two brothers outside.",1,2,226
" Og saa blev han forarget og sagde, at han skulde have ham, og han tog hende ind i Teltet, men der var hun kun halvt"," he was lying on his back, his legs spread apart. the moon was shining on his face. he was a good man, he was a good man. he was in a tent. he was eating a meal. he was drinking. he was drunk. he was sleeping. he was awake. he was sleeping. he was awake. he was awake. he was awake. he was awake. he was awake",Da så Kana'ans Fader Kam sin Faders Blusel og gik ud og fortalte sine Brødre det;,"Ham, the father of Canaan, saw the nakedness of his father, and told his two brothers outside.",2,2,226
" 6 Og da han kom ud af det, stod der intet sted til, hvor han skulde kunne hente en tjener, idet han havde taget til med","    Gardening    It is a beautiful day in the spring, and the gardeners are waiting to take the first steps of the garden. The gardeners are trying to build a new garden, and to take care of the old one.    Gardening is a part of life. It is a part of life. It is a part of life. It is a part of life.",Da så Kana'ans Fader Kam sin Faders Blusel og gik ud og fortalte sine Brødre det;,"Ham, the father of Canaan, saw the nakedness of his father, and told his two brothers outside.",3,2,226
" De andre var alle enige om, at han var meget beruset og derfor havde forgrebet sig. Men som de andre drog derfra, var han", the man was asleep and the woman was awake. she was naked and she had a knife in her hand. she was a woman with a knife in her hand. she was a woman with a knife in her hand. she was a woman with a knife in her hand. she was a woman with a knife in her hand. she was a woman with a knife in her hand. she was a woman with a,Da så Kana'ans Fader Kam sin Faders Blusel og gik ud og fortalte sine Brødre det;,"Ham, the father of Canaan, saw the nakedness of his father, and told his two brothers outside.",4,2,226
" Drenge og pige blev han og slog sig om hende, der var ingen i hendes sfære til at beskytte hende. I nat sad de i hendes", he was lying on the ground. he was naked. he was covered in blood. he was in the tent. he was naked. he was bleeding. he was alive. he was naked. he was bleeding. he was alive. he was naked. he was bleeding. he was alive. he was naked. he was bleeding. he was alive. he was naked. he was bleeding. he was alive.,Da så Kana'ans Fader Kam sin Faders Blusel og gik ud og fortalte sine Brødre det;,"Ham, the father of Canaan, saw the nakedness of his father, and told his two brothers outside.",5,2,226
" Ved midnatstid satte han sig dog op i sengen, gik ud i et stort, gammelt mosegroft hul, saa op mod himlen,",                                                                                                                                                                      ,Da så Kana'ans Fader Kam sin Faders Blusel og gik ud og fortalte sine Brødre det;,"Ham, the father of Canaan, saw the nakedness of his father, and told his two brothers outside.",6,2,226
" Men det gjorde en forfærdelig lykke, da en stormvind fik løsnet ham; han sprang gjennem mørket ud paa pladsen og ned ad vejen til t","  Sarai: Did he survive?  Nikki: He was 12 years old at the time of his death.  Sarai: Are there any other interesting aspects about this article?  Nikki: He was 17 years old when he was arrested and charged with murder.  Sarai: Was he convicted?  Nikki: On December 24, 2",Da så Kana'ans Fader Kam sin Faders Blusel og gik ud og fortalte sine Brødre det;,"Ham, the father of Canaan, saw the nakedness of his father, and told his two brothers outside.",7,2,226
" De sagde til ham: »Fædrelandet, se din udåd, til det blev til synd! Dit folk er blod; det var et",    11. norsk: Har du vært i Econo Lodge?  engelsk: Been to Econo Lodge?    12. norsk: Vi gjør det vi kan for å løse problemet.  engelsk: We do our best to resolve the problem.    13. norsk: Er du en turistorganisasjon fra La Romana?  engelsk: Are You a La Romana Tourism,Da så Kana'ans Fader Kam sin Faders Blusel og gik ud og fortalte sine Brødre det;,"Ham, the father of Canaan, saw the nakedness of his father, and told his two brothers outside.",8,2,226
" Han hørte den sorte røg ud fra teltlejrens vinduer. Snart trak han sig tilbage i mørket, men den store ildslukker stod i ild,"," he had a great deal of money and was a man of many talents.  I had seen this man before. I had known him from the days when he was a kid. He had a great deal of money and was a man of many talents. I knew that he had some kind of a problem, but I didn't know what it was. I asked him what was wrong with him.",Da så Kana'ans Fader Kam sin Faders Blusel og gik ud og fortalte sine Brødre det;,"Ham, the father of Canaan, saw the nakedness of his father, and told his two brothers outside.",9,2,226
"
Den ene af vore herrer var meget vred. Han raabte rasende paa os, fordi vi var blitve saa svage og træ","    ""He's drunk. He's drunk. He's drunk. He's drunk. He's drunk. He's drunk. He's drunk. He's drunk. He's drunk. He's drunk. He's drunk. He's drunk. He's drunk. He's drunk. He's drunk. He's drunk.",Da så Kana'ans Fader Kam sin Faders Blusel og gik ud og fortalte sine Brødre det;,"Ham, the father of Canaan, saw the nakedness of his father, and told his two brothers outside.",10,2,226
" Da gik præsten og hans tjenestefolk til ham, og de kyssede ham. Da så han ikke længere, men han var blussende", and his body was still in the tent.  The first one died of the fever. The second one had died of the poison.  The third one was in the tent. He had been sick for three days. He was in the tent.  The fourth one was in the tent. He had been sick for two days. He was in the tent.  The fifth one was in the tent. He,Da så Kana'ans Fader Kam sin Faders Blusel og gik ud og fortalte sine Brødre det;,"Ham, the father of Canaan, saw the nakedness of his father, and told his two brothers outside.",11,2,226
" 18:53 Og han kastede op, og han havde ikke en Klippe; men han var beruset og vilde ikke erkende","  he got drunk and fell asleep.    [header] How to get drunk [title] Don't drink. [step] Don't drink until you're sober. This is not a good idea. You may be thinking about drinking and you're going to think about it all day. [substeps] If you're sober, you will feel more sober.  You can also",Da så Kana'ans Fader Kam sin Faders Blusel og gik ud og fortalte sine Brødre det;,"Ham, the father of Canaan, saw the nakedness of his father, and told his two brothers outside.",12,2,226
" Blytunga og alle hans medsammensvorne truede ham. En storm med løver som fløj over dem, da han gik ned",                                                                                                                                                                      ,Da så Kana'ans Fader Kam sin Faders Blusel og gik ud og fortalte sine Brødre det;,"Ham, the father of Canaan, saw the nakedness of his father, and told his two brothers outside.",13,2,226
" Han kom nærmere, og der stod nogen nede ved kilden med et stort jernrør; men ham gjorde det ikke mere; der stod nogen bagved som",                                                                                                                                                                      ,Da så Kana'ans Fader Kam sin Faders Blusel og gik ud og fortalte sine Brødre det;,"Ham, the father of Canaan, saw the nakedness of his father, and told his two brothers outside.",14,2,226
" Jeg blev ved med at se efter ham fra døren, men der var intet. Endelig rejste han sig op, slog døren i efter sig, løb ned",". and he went to the camp and asked for a drink.  da: Da han drak af vinen, og blev fuld, blev han opdaget i sit telt.<|endoftext|>",Da så Kana'ans Fader Kam sin Faders Blusel og gik ud og fortalte sine Brødre det;,"Ham, the father of Canaan, saw the nakedness of his father, and told his two brothers outside.",15,2,226
" Da han kom igen og skulde rives i stykker af ilden, fik han ham reddet ved aabningerne i teltræet og holdt han ham","    Output:  3    Map from: Passage: She was a shy, beautiful young woman, who had been in love with the same man for twenty years. She was very good looking, and had a beautiful smile. However, she had a severe fear of men. She was a bit of a bitch. She hated the men she had been in love with. She was a very good cook",Da så Kana'ans Fader Kam sin Faders Blusel og gik ud og fortalte sine Brødre det;,"Ham, the father of Canaan, saw the nakedness of his father, and told his two brothers outside.",16,2,226
" Og han hørte nogle komme til ham, og i det samme rejste sig en mand fra sengen, som sagde til ham: ""Se, jeg sætter den", he was dressed in his usual clothes. he had a pair of shorts. he had a pair of shoes. he had a shirt. he was naked. he was dressed in his usual clothes. he had a pair of shorts. he had a shirt. he was naked. he was dressed in his usual clothes. he had a pair of shorts. he had a shirt. he was naked. he was dressed in,Da så Kana'ans Fader Kam sin Faders Blusel og gik ud og fortalte sine Brødre det;,"Ham, the father of Canaan, saw the nakedness of his father, and told his two brothers outside.",17,2,226
" Men han var ude at lege; han havde kun en stav rigelig for, som han kastede efter sig, og havde han ikke allerede kastet den", he was lying on his back on a rock and he was naked. he was in his tent with the other people. he was the only one. he was the only one. he was the only one.    Output:  no    Input:  [header] How to make a cup of tea [title] Prepare the tea. [step] The tea should be ready by the time,Da så Kana'ans Fader Kam sin Faders Blusel og gik ud og fortalte sine Brødre det;,"Ham, the father of Canaan, saw the nakedness of his father, and told his two brothers outside.",18,2,226
".
He had taken that in for the sake of being drunk and naked inside, he poured himself a drink and went out.<|endoftext|>", his body was thrown on the ground and his head was smashed. his body was covered in blood.                                                                                                                            ,Da så Kana'ans Fader Kam sin Faders Blusel og gik ud og fortalte sine Brødre det;,"Ham, the father of Canaan, saw the nakedness of his father, and told his two brothers outside.",19,2,226
