danish_predicted_output,english_predicted_output,danish_true_label,english_true_label,layer,lambda_amount,bible_verse
" og bad ham ikke om at gjøre saa meget ondt. Men da nu Farao og alle folk hørte det, og folket frygted Gud af hjerte",    svenska: Den största gruppen av män är muslimer.  engelska: The largest group of men are Muslims.    svenska: Jag vill inte ha något med honom att göra längre.  engelska: I don't want anything to do with him anymore.    svenska: Det är ingen som säger att de är dumma.  engelska: Nobody says they are stupid.    svenska: Jag vill inte ha någon annan,"Dette er Noas Slægtebog. Noa var en retfærdig, ustraffelig Mand blandt sine samtidige; Noa vandrede med Gud.","This is the history of the generations of Noah. Noah was a righteous man, blameless among the people of his time. Noah walked with God.",0,2,145
", til at de saa ham.
english -> Then the Israelites gave him to his kinsman Nahor, whom the Lord had chosen for man","  The first thing that he thought of was that he was going to need a new hat. The one that had been in the closet since his father was murdered. He'd found it at a flea market, and he was glad he didn't have to take it back.  He'd never used a hat before, but the one that had been in his closet was a big one. He'd never","Dette er Noas Slægtebog. Noa var en retfærdig, ustraffelig Mand blandt sine samtidige; Noa vandrede med Gud.","This is the history of the generations of Noah. Noah was a righteous man, blameless among the people of his time. Noah walked with God.",1,2,145
".

Dansk: De store bygninger, med højt arkitektonisk præg er beliggende syd for Nantes og ved Chateau de Clézas.",    norsk: 1 Gratis Se de siste bildene fra 1970-tallet  engelsk: 1 Free View the latest photos of the 1970s    norsk: Finn ut mer om våre beliggenheter i San Antonio.  engelsk: Find out more about our locations in San Antonio.    norsk: Det er også en privat parkeringsplass.  engelsk: There is also a private parking,"Dette er Noas Slægtebog. Noa var en retfærdig, ustraffelig Mand blandt sine samtidige; Noa vandrede med Gud.","This is the history of the generations of Noah. Noah was a righteous man, blameless among the people of his time. Noah walked with God.",2,2,145
", han fandt ingen anden vej end ned til Ægir og hans skib. ->
But as the men were no longer able to stand it, No","  I believe, because I know that he was always in awe of the young one. I also believe, because I've been in that same room with him, and I've been in those same rooms with my mother, and I know he was always there for me, and I know he's always there for my mother.  I don't know how I'm supposed to explain that. I","Dette er Noas Slægtebog. Noa var en retfærdig, ustraffelig Mand blandt sine samtidige; Noa vandrede med Gud.","This is the history of the generations of Noah. Noah was a righteous man, blameless among the people of his time. Noah walked with God.",3,2,145
"e, og det som han skulde gjøre, blev gjort.<|endoftext|>","  Their marriage was short-lived. Noah found himself in a world where the king and queen were both dead, and the queen was dead. The king's son, a slave, was killed, and Noah's family was left with no one.  ""You're a lucky man,"" said Noah.  ""I'm not,"" said the king. ""I'm the only one who'","Dette er Noas Slægtebog. Noa var en retfærdig, ustraffelig Mand blandt sine samtidige; Noa vandrede med Gud.","This is the history of the generations of Noah. Noah was a righteous man, blameless among the people of his time. Noah walked with God.",4,2,145
", og han begyndte at bygge et alter paa klippen, til ære for Herren: ""Aarstiderne er en høitid for folket;"," He gave him a golden coin. ""It's my son, Noah,"" he said.  ""I'm sorry,"" Noah said.  ""I'm sorry, Noah,"" said Noah.  ""What?"" said Noah.  ""I'm sorry,"" said Noah.  ""What?"" said Noah.  ""I'm sorry,"" said Noah.  ""I'm sorry,"" said Noah.  ","Dette er Noas Slægtebog. Noa var en retfærdig, ustraffelig Mand blandt sine samtidige; Noa vandrede med Gud.","This is the history of the generations of Noah. Noah was a righteous man, blameless among the people of his time. Noah walked with God.",5,2,145
". 45Og Gud gav hver mand sit hjerte, så han levede iblandt dem, 46og ingen fik sit hjerte antaget for en",                                                                                                                                                                            ,"Dette er Noas Slægtebog. Noa var en retfærdig, ustraffelig Mand blandt sine samtidige; Noa vandrede med Gud.","This is the history of the generations of Noah. Noah was a righteous man, blameless among the people of his time. Noah walked with God.",6,2,145
": »Men har jeg syndet imod dig, da har min Gud ikke kunnet hjælpe mig!« Og da kom Noa ned derfra på Jorden og",    4. Svenska: Jag vill vara en del av din familj.  Engelska: I want to be a part of your family.    5. Svenska: Och jag ska inte ge några exempel.  Engelska: I will not give you examples.    6. Svenska: Hur vet man att man har en bra kund?  Engelska: How do you know you have a good customer?    7. Svenska,"Dette er Noas Slægtebog. Noa var en retfærdig, ustraffelig Mand blandt sine samtidige; Noa vandrede med Gud.","This is the history of the generations of Noah. Noah was a righteous man, blameless among the people of his time. Noah walked with God.",7,2,145
" og døde, for han blev udryddet af menneskene. 28 Og da Moses havde givet Israelerne tilladelse til at gøre op med ammonitt","  During the night Noah's father was sleeping in a tent, Noah heard his father's voice. ""I'm sorry, my boy. I'm not sure what happened to you.""  ""Noah,"" said Noah, ""I'm not sure that you're okay. I don't know how you found me, but I'm not sure that you're okay.""  ""","Dette er Noas Slægtebog. Noa var en retfærdig, ustraffelig Mand blandt sine samtidige; Noa vandrede med Gud.","This is the history of the generations of Noah. Noah was a righteous man, blameless among the people of his time. Noah walked with God.",8,2,145
e og lovede ham at han skulde faa et barnebarn.<|endoftext|>,"    He was called a liar.    In the Bible, he was a thief.    In the Bible, he was a murderer.    In the Bible, he was a traitor.    In the Bible, he was a murderer.    In the Bible, he was a traitor.    In the Bible, he was a murderer.    In the Bible","Dette er Noas Slægtebog. Noa var en retfærdig, ustraffelig Mand blandt sine samtidige; Noa vandrede med Gud.","This is the history of the generations of Noah. Noah was a righteous man, blameless among the people of his time. Noah walked with God.",9,2,145
