danish_predicted_output,english_predicted_output,danish_true_label,english_true_label,layer,lambda_amount,bible_verse
" og andre byer der. Han sendte ut to små skibe; det var det annet på bildet (se ovenfor) og det tredje (under), som blev"," and shalil. He had also built a wall, and made a road through it.    Early in the reign of Ashurbanipal, his reign was so short that no one knows how long it lasted. The king was so busy with the construction of the wall, that he did not see that the king was also building the fortress of G","og Resen mellem Nineve og Kela, det er den store By.",and Resen between Nineveh and Calah (the same is the great city).,0,2,245
"ja-f, og der byggede han, paa syv maal, en kirke; men efter sasdans fall kom karaiterna,"," el-shira, a-ma'arah, and a-mohammad.  The word for 'peace' is 'jihad'. The word is also used for 'peace', but it is more appropriate to use 'peace' for 'peaceful' or 'peaceful' as it is the word for peace.  If a man was in","og Resen mellem Nineve og Kela, det er den store By.",and Resen between Nineveh and Calah (the same is the great city).,1,2,245
" el. mameluk-er i det land, som er omtalt i Daniels Bog. Til dette land blev han far for den unge mand og"," qadr, and shem.  ""And it was the king of Assyria who said, 'If you do not build the temple of the Lord your God, I will kill you.'  ""And he sent a messenger to the king of Assyria, and said, 'If you build this temple of the Lord your God, I will kill","og Resen mellem Nineve og Kela, det er den store By.",and Resen between Nineveh and Calah (the same is the great city).,2,2,245
-nau; han besøgte også paladset Nimrud i 1304 og grundlage byen Nimrud med palads," al-hafiz, al-khali, al-qal'ah, al-hayt, and al-sul'a.  The name of the city of Homs is called Khabar. The city of Homs was first mentioned in the ""Book of the Prophets"" by Samuel of Antioch, who mentions","og Resen mellem Nineve og Kela, det er den store By.",and Resen between Nineveh and Calah (the same is the great city).,3,2,245
" og assy-kalimot. Dette land tilhørte han ved en aftale med sin søn Asjili.
I begyndelsen i 56"," al-muqtadid, and al-amal.    13. Norsk: Den beste prisen funnet på Skyscanner for flyreiser fra Berlin til Dubai er kr 6 226.  Engelsk: The best price found on Skyscanner for a flight from Berlin to Dubai is £4,897.    ","og Resen mellem Nineve og Kela, det er den store By.",and Resen between Nineveh and Calah (the same is the great city).,4,2,245
", amna og ramha (samme i det nordvestlige Mesopotamien, Israel og Libanon).

2. Svenska: Det"," asyria, and the city of tiberias, and called it Tiberias.  16And he made a stone wall for it, and a great gate, and a great door, and a great gate-chain, and a great gate-chain-chain, and a great gate-chain-chain, and a great gate-chain-chain","og Resen mellem Nineve og Kela, det er den store By.",and Resen between Nineveh and Calah (the same is the great city).,5,2,245
", amad-ir, aras-ir, khar-ir, amor, anbar, amhar, assyrien og fik"," ezion, laf, and hezekiah, and he built the tombs of them. 4And he said to them, Who is the son of the LORD?  6And the sons of Ammon, which were in the land, were all the sons of Naphtali, who were in the land, and in the land of G","og Resen mellem Nineve og Kela, det er den store By.",and Resen between Nineveh and Calah (the same is the great city).,6,2,245
" og syr al kharma på 10 og 1100 år.
engelsk: The Sardinian population increased, becoming one"," zohar, and sharith.  5. In the days of the king of Assyria, Abimelech the son of Ammelech, the king of Israel, his brothers, and his servants, he rebuilt Nineveh, and rebuilt the houses of the princes, the chief priests, the priests of the city,","og Resen mellem Nineve og Kela, det er den store By.",and Resen between Nineveh and Calah (the same is the great city).,7,2,245
"a, yobot og hymenium til minde om sin hjemstavnsby Ba'al, der ligger ud for Assyrien.<|endoftext|>"," kishon, and lechim.  Danish: Han lod sig udslette af det land, han drog ind i Assyrien, og byggede niveh, rehoboth ir, kalah, kishon og lechim.    English: I am proud to be a part of the community.  Danish:","og Resen mellem Nineve og Kela, det er den store By.",and Resen between Nineveh and Calah (the same is the great city).,8,2,245
", sumai eller jumra og byggede en by paa et bjerg. Fra Syrien har vi mange eksempler paa det første tempel, og fra det"," al-khor, al-khor, and al-dubaiyya, and in them he built the palace of jibril, and made the temple of jibril, and built a great house therein.  And in the palace of jibril he made the great house of a king, which he built in the great hall of","og Resen mellem Nineve og Kela, det er den store By.",and Resen between Nineveh and Calah (the same is the great city).,9,2,245
